composition,band_gap
F4,1.7637666666666665
O2,1.5477
O6,1.2933
O8,1.3985
O24,1.1997
Cl4,2.3778571428571427
Cl4F4,2.0695
Cl4F12,2.5712
Cl4O12,1.1917
Cl4O14,3.677
Cl8F24,2.7251
Cl8O4,1.0613
Cl8O16,0.9819600000000002
Cl16,2.4778
N2,3.1761
Cl2F8N2O2,1.603
Cl2N2O12,1.3795
N4,5.994800000000001
F4N4O4,3.1789
N4O8,2.4494
N4O10,0.6446000000000001
Cl4N4O4,1.931
N6O12,2.46378
Cl2N6,2.2733
N8O4,3.331
N8O12,0.9371
Cl36N12,2.1809
F2Kr1,2.9068
F4Kr2,2.7901
Br2F6,2.16785
Br2F10,3.4687
Br2Cl2,1.7512
Br4,1.32025
Br4F16N4O8,2.3258
Br4N4O12,2.2354
Br16O24,1.7739
F14I2,1.6587
Cl6I2,1.7346
F10I2N4O8,1.3469
I4,0.9567750000000002
F12I4,1.7286
F12I4O4,3.6443
F4I4O8,2.8947
I4O12,1.898675
I8O16,1.4716125000000002
I8O20,2.657425
Cl8I8,1.4661666666666668
Cl8F8I8O8,2.0701
F50I10,4.6986
F2Xe1,2.6933666666666665
F8Xe2,2.7544500000000003
F4O4Xe2,2.4642
F14I2Xe2,3.0673
F12Xe4,2.5223
O12Xe4,2.105
F26N2O4Xe4,2.8945
F4N4O12Xe4,2.3714
F32N8O8Xe4,2.1833
F6S1,5.7478
O4S2,2.8414
I4O12S2,1.8855
F18S3,5.917339999999999
F8O8S4,5.8814
O12S4,5.1275
Cl8O4S4,3.6047
N4S4,3.0369333333333337
Cl4N4O16S4,1.3169
Br4S4,2.13
Cl28I4S4,1.6709
I8N8S4,1.4951
S6,2.50305
N4O4S6,1.6858
N4O28S6,1.444
Cl4N4S6,1.6965
F6N6S6,3.33095
Cl6N6S6,2.6661
F16O8S8,5.266
F8O20S8,5.583
Cl16S8,2.1038
N4O4S8,2.2865
F8N8S8,3.4494333333333334
Br16O8S8,2.7209
F8I8O24S8,1.9564
F16O24S8Xe8,2.4555
S9,2.3659
Cl2N4O12S10,1.3297
Cl2N10S10,1.4968
N12S10,2.28375
N8O20S12,2.7269
Cl4N12O8S12,2.3178
N12O16S14,2.0273
N8S16,1.69165
F4N12O8S16,2.1496
N16S16,1.2216666666666665
N16O8S16,1.9289
N16O12S16,1.60715
Cl8N16S16,2.5552
Cl4N20S16,1.97485
Br12N12S16,1.7159
Cl8I4N12S16,1.6175
S18,1.4005
S20,2.1955
S24,2.4303
S28,2.5201
S32,1.905225
O4S32,2.4228
S36,2.4698
N4O4S4Se2,1.8244
Se3,0.979251851851852
F16Se4,4.0455
F8O4Se4,4.1516
O8Se4,3.442
Br4Se4,1.5175
Se6,1.55095
N4O24Se6,0.9613
O16Se8,3.265322222222222
O20Se8,2.8903
O24Se8,2.412
Cl8Se8,2.1479
Cl32Se8,3.0868
Cl12N4Se8,1.4065
N8Se8,1.9741
Br8Se8,1.7207
N16Se16,0.8037
Br24N8Se16,1.2381
Se32,1.46505
Se64,1.6158
C1N2,0.1657
C1I1N1,4.3259
C1I4,1.0643
C1O1S1,4.824
C1S14,2.4978
C2,3.63425
C2Cl4F4,4.9045
C2Cl2N2,5.7867
C2N4,2.6778666666666666
