composition,band_gap
Se1S1,1.9
C1Br4,3.7
C1I4,2.26
W1O3,2.8
W1Se2,1.45
Pb1O2,1.7
Pb1Cl2,3.94
Pb1N6,3.02
Pb1Br2,3.31
Pb1I2,2.54
Pb1S1,0.37
Pb1Se0.01S0.99,0.37
Pb1Se0.5S0.5,0.33
Pb1Se0.9S0.1,0.27
Pb1Se0.95S0.05,0.26
Pb1Se0.99S0.01,0.26
Pb1Se1,0.26
Pb1Se1O4,4.3
Pb2O3,1.67
Pb2N2Se1O9,3.76
Pb3O4,2.12
Pb3Br2Se2O6,3.73
Pb17O8Cl18,3.44
Rh0.67S2,1.5
Rh0.67Se2,0.7
Rh1S3,1.5
Rh1S1Se1,0.7
Rh1Se2,0.6
Rh1Se3,0.7
Rh2S3,0.8
Pt0.97S2,0.95
Pt1S1,0.64
Pt1S2,0.75
Pt1Se2,0.1
Ru1S2,1.8
Ru1Se2,1.0
Pd1O1,0.8
Pd1I2O6,1.31
Pd1S1,0.5
Pd1S2,0.75
Pd1Se1,0.2
Pd1Se2,0.4
Os1S2,2.0
Ir0.67S2,2.0
Ir0.67Se2,0.45
Ir1S2,0.9
Ir1S1Se1,1.2
Ir1Se2,0.9
H6Pt1I6O20,2.12
N1H7Se2O6,4.81
P1Se1,2.5
Ru1P1S1,1.4
Pd1P1S1,1.4
Pd1P1Se1,0.15
Os1P1S1,1.4
Os1P1Se1,1.4
Pb1H1P1O3,3.97
P2Se3,2.4
P2Se5,2.2
Rh1P2,1.0
Pt1P2,0.6
Ru1P2,1.0
Pd1P2,0.65
Pd3P2S8,2.12
Os1P2,1.2
Ir1P2,1.0
Ru1P4,0.38
Os1P4,0.6
As1Br3,2.6
As1I3,2.47
As1S1,2.4
As1S1I1,2.05
As1S3,2.35
As1Se1I1,1.76
Ru1As1S1,1.2
Os1As1S1,1.3
P1As1,0.23
Pt1P1As1,0.4
Ru1P1As1,0.8
Pd1P1As1,0.45
As2O3,4.0
As2S3,2.43
As2S5,2.48
As2Se3,1.8
Rh1As2,1.15
Pt1As2,0.55
Ru1As2,0.8
Os1As2,0.92
Ir1As2,1.0
Mo1O3,3.66
Mo1Se2,1.6
Pb1Te0.01Se0.99,0.26
Pb1Te0.05Se0.95,0.26
Se0.6Te0.4,1.2
Se0.5Te0.5,1.0
Pb1Te0.5Se0.5,0.29
Se0.4Te0.6,0.7
Se0.2Te0.8,0.4
Pb1Te0.99Se0.01,0.3
Te1O2,3.0
Te1I1,1.1
Te1I4,1.1
Se1Te1,1.58
Te1Se3,1.87
Pb1Te1,0.29
Pb3Cl4Te1O3,3.79
As1Te1,0.74
Ru1Te2,0.25
Pd1Te2,1.8
Os1Te2,0.3
Mo1Te2,1.1
As2Te3,1.68
Sb1I3,2.41
Sb1S1Br1,2.21
Sb1S1I1,1.93
Sb1Se1Br1,1.84
Sb1Se1I1,1.68
Pb1Sb1O2Br1,2.67
Pb1Sb1O2I1,2.48
Pb2Sb1S2I3,2.0
