composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,band_gap
La2 Zr1 S5,16.0,57.0,41.0,29.25,16.5625,16.0,13.0,88.0,75.0,63.75,30.3125,88.0,32.065,138.90547,106.84047,66.1699925,42.631240625,32.065,388.36,2128.0,1739.64,806.975,523.26875,388.36,3.0,16.0,13.0,11.25,5.9375,16.0,3.0,6.0,3.0,4.0,1.25,3.0,105.0,207.0,102.0,139.25,42.8125,105.0,1.1,2.58,1.48,2.05375,0.6578125,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.5,1.875,4.0,0.0,2.0,2.0,0.5,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.0,1.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.25,0.9375,2.0,0.0,9.0,9.0,3.25,4.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.5,3.125,2.0,23.195,36.8975,13.7025,28.240546875,4.328476562500001,25.786875,0.0,2.202,2.202,1.37625,1.0321875,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,116.5,58.125,70.0,2.01
Cu1 Ga1 S2,16.0,31.0,15.0,23.0,7.0,16.0,64.0,88.0,24.0,78.5,9.5,88.0,32.065,69.723,37.658,49.34975,17.284750000000003,32.065,302.91,1357.77,1054.86,609.35,374.21,388.36,11.0,16.0,5.0,14.0,2.0,16.0,3.0,4.0,1.0,3.5,0.5,3.0,105.0,132.0,27.0,116.0,11.0,105.0,1.81,2.58,0.77,2.2175,0.3625,2.58,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,9.0,3.0,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,11.07,25.786875,14.716874999999998,20.3753125,5.411562499999999,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,107.25,58.875,70.0,2.5
Ag1 Tl1 Se2,34.0,81.0,47.0,49.0,16.0,34.0,65.0,89.0,24.0,79.75,9.25,89.0,78.96,204.3833,125.4233,117.54287499999998,43.42021249999999,78.96,494.0,1234.93,740.9300000000001,699.9825000000001,267.47375000000005,494.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,6.0,2.0,4.75,0.75,4.0,120.0,145.0,25.0,132.5,12.5,120.0,1.62,2.55,0.9299999999999996,2.1625,0.3874999999999999,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.5,5.25,0.0,11.0,27.0,16.0,17.5,4.75,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,16.33,26.91,10.580000000000002,23.77,3.7200000000000015,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,111.75,97.75,14.0,0.72
In2 Se3,34.0,49.0,15.0,40.0,7.2,34.0,75.0,89.0,14.0,83.4,6.719999999999999,89.0,78.96,114.818,35.858000000000004,93.3032,17.211840000000002,78.96,429.75,494.0,64.25,468.3,30.84,494.0,13.0,16.0,3.0,14.8,1.44,16.0,4.0,5.0,1.0,4.4,0.4800000000000001,4.0,120.0,142.0,22.0,128.8,10.560000000000002,120.0,1.78,2.55,0.7699999999999998,2.242,0.3695999999999999,2.55,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,3.0,14.8,1.44,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,24.26,25.92,1.66,25.256,0.7968000000000004,25.92,0.0,0.799,0.799,0.4794,0.38352,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,139.0,125.0,64.0,60.0,14.0,1.42
Sn2 Bi1 S1 I5,16.0,83.0,67.0,51.55555555555556,8.592592592592592,53.0,80.0,96.0,16.0,90.44444444444444,6.172839506172839,96.0,32.065,208.9804,176.9154,123.66530555555556,22.557981481481484,126.90447,386.85,544.4,157.54999999999995,430.7966666666667,58.25999999999999,386.85,14.0,17.0,3.0,16.0,1.1111111111111112,17.0,3.0,6.0,3.0,4.888888888888889,0.4197530864197528,5.0,105.0,148.0,43.0,136.22222222222223,6.938271604938267,139.0,1.96,2.66,0.7000000000000002,2.4244444444444446,0.2962962962962963,2.66,2.0,2.0,0.0,2.0,0.0,2.0,2.0,5.0,3.0,4.0,1.1111111111111112,5.0,0.0,10.0,10.0,8.88888888888889,1.9753086419753083,10.0,0.0,14.0,14.0,1.5555555555555556,2.765432098765432,0.0,6.0,29.0,23.0,16.444444444444443,3.407407407407408,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.1111111111111112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.1111111111111112,1.0,25.786875,43.015,17.228125000000002,37.82020833333333,5.771990740740741,43.015,0.0,2.202,2.202,0.8346666666666667,0.5564444444444444,1.062,0.0,0.0,0.0,0.0,0.0,0.0,12.0,141.0,129.0,76.0,28.88888888888889,64.0,1.32
Eu1 Bi2 Te4,52.0,83.0,31.0,62.42857142857143,11.918367346938776,52.0,25.0,90.0,65.0,79.57142857142857,15.59183673469388,90.0,127.6,208.9804,81.38040000000001,154.33211428571423,31.227591836734685,127.6,544.4,1095.0,550.6,724.9200000000001,105.73714285714291,722.66,3.0,16.0,13.0,13.857142857142858,3.10204081632653,16.0,5.0,6.0,1.0,5.428571428571429,0.489795918367347,5.0,138.0,198.0,60.0,149.42857142857142,13.877551020408154,138.0,1.185,2.1,0.915,1.9464285714285716,0.2175510204081633,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.142857142857143,0.979591836734694,4.0,0.0,10.0,10.0,8.571428571428571,2.448979591836735,10.0,0.0,14.0,14.0,5.0,5.714285714285714,0.0,9.0,29.0,20.0,18.714285714285715,5.877551020408164,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,2.0,7.0,5.0,3.0,1.1428571428571428,2.0,32.95,36.46,3.509999999999998,34.4876190476,0.8786394557714264,34.7633333333,0.0,0.464,0.464,0.2651428571428572,0.227265306122449,0.464,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,123.0,63.42857142857143,152.0,0.44
K2 Zn1 Te2,19.0,52.0,33.0,34.4,14.080000000000002,19.0,3.0,90.0,87.0,51.0,38.4,3.0,39.0983,127.6,88.5017,79.75532,38.275744,39.0983,336.53,722.66,386.13,562.2119999999999,180.5456,336.53,1.0,16.0,15.0,9.2,6.56,1.0,4.0,5.0,1.0,4.4,0.4800000000000001,4.0,122.0,203.0,81.0,160.8,33.760000000000005,138.0,0.82,2.1,1.2800000000000002,1.498,0.5424,0.82,1.0,2.0,1.0,1.6,0.48,1.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,10.0,10.0,6.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,9.2,6.56,1.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.64,1.0,13.96,73.1066666667,59.14666666669999,45.94,21.73333333336,34.7633333333,0.0,0.464,0.464,0.1856,0.2227199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,191.2,31.360000000000003,152.0,3.0
Rh1 As2,33.0,45.0,12.0,37.0,5.333333333333333,33.0,59.0,84.0,25.0,75.66666666666667,11.111111111111107,84.0,74.9216,102.9055,27.98390000000001,84.24956666666667,12.437288888888892,74.9216,1090.0,2237.0,1147.0,1472.3333333333333,509.77777777777777,1090.0,9.0,15.0,6.0,13.0,2.6666666666666665,15.0,4.0,5.0,1.0,4.333333333333333,0.4444444444444443,4.0,119.0,142.0,23.0,126.66666666666669,10.222222222222223,119.0,2.18,2.28,0.0999999999999996,2.2133333333333334,0.0444444444444442,2.18,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,8.0,10.0,2.0,9.333333333333334,0.8888888888888887,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,6.0,13.0,2.6666666666666665,15.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,13.64,22.175,8.535,19.33,3.793333333333333,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,185.66666666666663,26.222222222222214,166.0,1.15
Ag1 Al1 O2,8.0,47.0,39.0,19.0,14.0,8.0,65.0,87.0,22.0,78.0,9.0,87.0,15.9994,107.8682,91.8688,41.71213465,33.078032675,15.9994,54.8,1234.93,1180.13,569.5,514.7,54.8,11.0,16.0,5.0,14.0,2.0,16.0,2.0,5.0,3.0,3.0,1.0,2.0,66.0,145.0,79.0,99.5,33.5,66.0,1.61,3.44,1.83,2.605,0.835,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.5,2.25,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,9.105,16.48,7.375,12.755,3.65,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,3.6
Al2 Se3,13.0,34.0,21.0,25.6,10.08,34.0,73.0,89.0,16.0,82.6,7.6800000000000015,89.0,26.9815386,78.96,51.97846139999999,58.16861544,24.949661471999995,78.96,494.0,933.47,439.47,669.788,210.9456,494.0,13.0,16.0,3.0,14.8,1.44,16.0,3.0,4.0,1.0,3.6,0.48,4.0,120.0,121.0,1.0,120.4,0.4800000000000011,120.0,1.61,2.55,0.9399999999999996,2.174,0.4511999999999999,2.55,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,10.0,10.0,6.0,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,13.0,10.8,6.24,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,16.48,25.92,9.44,22.144,4.531200000000001,25.92,0.0,0.799,0.799,0.4794,0.38352,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,98.4,101.28,14.0,3.15
