composition,band_gap
Ac2O3,3.522599999999999
Ac16S24,2.2962
Ac1Ag1Te2,0.079399999999999
Ac1Al1O3,4.1024
Ac2Br6,4.103299999999999
Ac2Br2O2,4.241
Ac2Cl6,5.0865
Ac2Cl2O2,4.4451
Ac1Cr1O3,2.0031
Ac1Fe1O3,0.9887999999999992
Ac1Ga1O3,2.895900000000001
Ac1Ga1Te2,0.490999999999999
Ac1H3,0.640699999999999
Ac2I6,2.5892
Ac1In1Te2,0.3799
Ac2N2,0.0517
Ac1O1F1,4.256600000000001
Ac1Tl1Te2,0.6253000000000001
Ag2Au4F16,0.258499999999999
Ag8B48Cl48,2.7028
Ag40Te16Br12,0.8722000000000001
Ag30P8S32Cl6,1.288799999999999
Ag8B32O52,3.4397
Ag8Bi4O12,0.3872
Ag4C2O6,0.4736
Ag12Ge6S36O126,2.8072
Ag4Ge2Pb2S8,1.3699
Ag4Ge2S6,0.4646
Ag8H16S12O48,2.8821
Ag4Hg4Te6O24,0.1606
Ag4Hg2Ge2S8,0.4441
Ag2Hg1I4,1.2219
Ag8Hg4O8,0.410299999999999
Ag4Hg2S2I4,1.2212
Ag4Mo4O14,1.9011
Ag4P4Pd2O14,1.166799999999999
Ag6P3H3O12,1.3274
Ag16P8Se24,1.186599999999999
Ag4S4O14,2.301599999999999
Ag4S2O8,1.2289
Ag8Se4O12,1.7022
Ag8Se4O12,2.093499999999999
Ag4Se2O8,0.426399999999999
Ag12Sn6S36O126,2.4602
Ag4Sn2Hg2S8,0.015699999999999
Ag12Te6O24,0.0001
Ag4Te2S6,1.2999
Ag3As1F12,0.099399999999999
Ag3As1F12,0.153999999999999
Ag6As2O8,9.9999999999989e-05
Ag12As4S12,1.627799999999999
Ag6As2S8,0.3576
Ag36As12Se36,0.9037
Ag12Au4Se8,0.023499999999999
Ag6F16,0.306899999999999
Ag6Ge10P12,0.5388000000000001
Ag3P11,0.8305999999999991
Ag6P2O8,0.420999999999999
Ag6P2S8,0.9914
Ag6Sb8F48,0.012499999999999
Ag12Sb4S12,1.5142
Ag6Sn4Ge6P12,0.215499999999999
Ag6Sn2P14,0.5034000000000001
Ag12Te8Au4,0.1725
Ag16Mo8Se12O64,1.7787000000000002
Ag16P4I4O16,0.9546
Ag16Te4O20,0.004199999999999
Ag16Te4S4O16,0.6883
Ag20Bi4O16,1.5002
Ag5Hg4P8Cl5,0.9788
Ag5P1S4Cl2,1.2689
Ag10P2Se2O8,0.307599999999999
Ag40Te16Cl8,0.198499999999999
Ag28P4Se24,0.7841
Ag32Ge4S24,0.6102000000000001
Ag32Sn4S24,0.535099999999999
Ag16Sn2Se12,0.000999999999999
Ag18P28O56F56,0.026499999999999
Ag2As2S32F12,2.765
Ag2As2Se6F12,1.6736
Ag2As6H4O18,0.8362
Ag1As1F6,1.6805999999999992
Ag2As2O6,0.2921
Ag4As4Pb4S12,1.385999999999999
Ag2Au2I8O24,1.257299999999999
Ag2Au2Cl8,0.8406
Ag2Au2F8,1.0268
Ag2Au2O4,0.6522999999999991
Ag4B4F16,3.157
Ag4Bi4I16O48,2.4344
Ag2Bi2P4S12,1.183799999999999
Ag2Bi2P4Se12,1.2778
Ag1Bi2F12,0.3971
Ag2Bi6S10,0.5262
Ag2Bi2S2Cl4,1.0752
Ag1Br1,0.730399999999999
Ag1Cl1,0.9522
Ag1Cl1O4,2.3558
Ag6F18,0.208499999999999
Ag4H20S8O36,3.6925
Ag4Hg8As4O16,0.738599999999999
