rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
1,500,7,0.1,1.0,0.7,0.5,0.5,0.29578797426929554,0.6444750406392504
2,500,9,0.05,1.0,0.7,1.0,0.5,0.2799777528653506,0.644791060005207
3,500,7,0.1,1.0,0.7,1.0,0.5,0.29966674257442266,0.645676440501738
4,500,6,0.1,1.0,0.7,1.0,0.5,0.36971182453496,0.6458850853523227
5,500,9,0.05,1.0,0.7,0.5,0.5,0.2755324509116551,0.6460982555741649
6,500,7,0.1,1.0,1.0,0.5,0.5,0.2938058902714723,0.6465519350014053
7,500,7,0.1,1.0,0.7,1.0,0.0,0.3027920252855103,0.6467573523850967
8,500,9,0.05,1.0,0.7,1.0,0.0,0.282854016592138,0.6468898047938006
9,500,6,0.1,1.0,0.7,0.5,0.5,0.36688800263363286,0.6472537411301849
10,500,7,0.05,1.0,0.7,0.5,0.5,0.38971950749371986,0.6474123261813022
11,200,9,0.1,1.0,0.7,1.0,0.5,0.2994084658832506,0.647623468479985
12,500,9,0.05,0.7,0.7,1.0,0.5,0.29690079648766193,0.648006477649552
13,500,7,0.1,1.0,1.0,1.0,0.5,0.29676724752384176,0.6480734828563899
14,200,10,0.05,1.0,0.7,1.0,0.5,0.33168498152189213,0.6481225923258505
15,500,9,0.05,0.7,1.0,1.0,0.5,0.29547043580141485,0.6481493484073695
16,500,7,0.05,1.0,1.0,1.0,0.5,0.39087863107025617,0.6481583989877876
17,500,7,0.1,1.0,0.7,0.5,0.0,0.3010858539426037,0.6482252907469273
18,500,6,0.1,1.0,0.7,1.0,0.0,0.3736939696490209,0.6482550410985847
19,500,9,0.05,1.0,0.7,0.5,0.0,0.2771945928027687,0.6482835709334563
20,500,7,0.05,0.7,1.0,1.0,0.5,0.3901507011596425,0.6484519349892236
21,500,7,0.05,1.0,0.7,1.0,0.5,0.39429348437140865,0.6485769897852265
22,500,9,0.05,0.7,0.7,1.0,0.0,0.3036655142737823,0.6487851791020612
23,500,9,0.05,1.0,1.0,1.0,0.5,0.27780247285805987,0.6489671465235233
24,500,9,0.05,1.0,1.0,0.5,0.5,0.2750799827954419,0.6489952671256362
25,500,9,0.05,0.7,1.0,1.0,0.0,0.3030953944308738,0.649020540191488
26,500,6,0.1,1.0,1.0,1.0,0.5,0.3655139999698668,0.6490476205111784
27,500,6,0.1,1.0,1.0,0.5,0.5,0.3616483047848762,0.6492854186166758
28,500,7,0.1,1.0,1.0,0.5,0.0,0.29921444945039277,0.6493178179196656
29,200,10,0.05,1.0,0.7,0.5,0.5,0.3238950582884954,0.6494236623467348
30,200,9,0.1,1.0,1.0,1.0,0.5,0.29934041737006273,0.649514654128795
31,500,9,0.05,0.7,1.0,0.5,0.5,0.2942948153634407,0.6496010490105053
32,500,9,0.05,0.7,0.7,0.5,0.0,0.30318710665993703,0.6496530602397416
33,500,10,0.05,1.0,0.7,1.0,0.5,0.2553635574046673,0.6496770522986327
