rank_test_score,param_en__alpha,param_en__l1_ratio,train_rmse,test_rmse
1,0.01,0.05,1.1277450638573656,1.1298819608160628
2,0.01,0.1,1.1284355626400626,1.1305014038675087
3,0.01,0.3,1.131907650950775,1.1337745752543085
4,0.01,0.5,1.1354041013651002,1.137126988126392
5,0.05,0.05,1.1368391802545084,1.1383914030528337
6,0.01,0.7,1.1393025110908743,1.1409556770408216
7,0.05,0.1,1.1402497098657811,1.1416486287701348
8,0.01,0.9,1.1421686903487418,1.1435911236856147
9,0.01,0.95,1.1426643309657538,1.1440265409676602
10,0.1,0.05,1.1440900938097274,1.1452827021639356
11,0.1,0.1,1.1486063730772476,1.1497158124686209
12,0.05,0.3,1.1496435178182642,1.1507888319348394
13,0.05,0.5,1.1579867404171174,1.158911867490814
14,0.1,0.3,1.1649423795266804,1.1657743125373425
15,0.05,0.7,1.1668453845624638,1.1676099611780846
16,0.05,0.9,1.175211908631616,1.1759309982665875
17,0.05,0.95,1.1768439521000185,1.177556062426169
18,0.5,0.05,1.1783450942179778,1.1789597781908419
19,0.1,0.5,1.1813671372575871,1.1820441632832976
20,0.1,0.7,1.1950029647864142,1.1954982681104642
21,0.5,0.1,1.198111449983605,1.1986696977747344
22,0.1,0.9,1.2053984376679827,1.2058354640551485
23,0.1,0.95,1.2078520808602768,1.208286533311233
24,1.0,0.05,1.2122286856559032,1.2126541113005818
25,1.0,0.1,1.2421314433523694,1.242437927741715
26,0.5,0.3,1.2594437777652205,1.2597668665977362
27,2.0,0.05,1.263695070485615,1.2639318860363562
28,0.5,0.5,1.3256425280241682,1.3259271040991074
29,2.0,0.1,1.3262446742310892,1.32643149805085
30,1.0,0.3,1.366002227887117,1.366213122141445
31,0.5,0.7,1.382476522966657,1.3826922692286368
32,0.5,0.9,1.4263096107831625,1.4265500201859773
33,0.5,0.95,1.437986116802543,1.4381768853498083
34,1.0,0.5,1.4531385760442417,1.453264842463329
35,1.0,0.9,1.4766413411241606,1.4766463374732743
35,1.0,0.7,1.4766413411241606,1.4766463374732743
35,1.0,0.95,1.4766413411241606,1.4766463374732743
35,2.0,0.3,1.4766413411241606,1.4766463374732743
35,2.0,0.5,1.4766413411241606,1.4766463374732743
35,2.0,0.7,1.4766413411241606,1.4766463374732743
35,2.0,0.9,1.4766413411241606,1.4766463374732743
35,2.0,0.95,1.4766413411241606,1.4766463374732743
