rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
1,100,,2,2,0.5,0.277025516540079,0.7208517219985746
2,100,,5,1,0.25,0.25788497296410634,0.7266748791452522
3,200,,5,2,0.25,0.3281838353070577,0.7273354320712045
4,100,,2,2,0.25,0.30779560782122894,0.7286808273797384
5,200,,2,1,0.5,0.2009845533308602,0.7316419180791197
6,200,,2,4,0.5,0.4391906838158321,0.731882799132068
7,100,,5,4,0.5,0.43998939063396386,0.7330115550954035
7,100,,2,4,0.5,0.43998939063396386,0.7330115550954035
9,200,,2,1,0.25,0.2009845533308602,0.7379594423382362
10,100,,10,2,0.25,0.4360289538303696,0.7381067703981986
11,100,,2,2,sqrt,0.381989489841554,0.751431847968373
12,200,,5,2,sqrt,0.4031900044401954,0.751820684223088
13,200,,2,1,log2,0.2009845533308602,0.7625588076960967
14,100,,2,1,log2,0.2009845533308602,0.7636259497500368
15,100,,10,2,sqrt,0.5149584813944363,0.7698568753727408
16,200,,2,2,log2,0.4570087487525431,0.7737567998625766
17,100,,2,2,log2,0.4576853712725099,0.7749471401327938
18,100,,10,1,log2,0.5040022285606447,0.7760015192905882
19,200,,2,1,1,0.2009845533308602,0.7915883046977126
20,200,,5,4,sqrt,0.5907371582643354,0.7926543434233959
21,100,,10,4,sqrt,0.6050090286886162,0.7970224674646208
22,200,,5,1,1,0.43952810267177783,0.7976553371799858
23,200,,5,4,log2,0.674860046200146,0.8318286303000989
24,100,,2,4,log2,0.675412693183333,0.832093478330168
25,200,,10,1,1,0.6437212546136682,0.848627781524429
26,200,10,2,4,0.5,0.8837218696118206,0.9247624457944896
27,200,10,10,4,0.5,0.8844361266032754,0.9252956406682677
28,100,10,10,2,0.5,0.8838852832661365,0.9255140831811153
29,100,10,10,4,0.5,0.885155135969539,0.9257881957376595
30,100,10,2,1,0.25,0.9152996034040836,0.953659623366917
31,200,10,5,2,0.25,0.9177877923113044,0.9547544422894262
32,100,10,5,2,0.25,0.9182900769363709,0.9551496547680833
33,200,10,10,1,0.25,0.9197964556960326,0.9552694353837807
34,100,10,10,4,0.25,0.9218104912003664,0.9556333234140489
35,200,10,10,2,0.25,0.9204541696601949,0.9557204971803421
36,100,10,10,2,0.25,0.9204250573411084,0.9559313947493594
37,200,10,10,4,0.25,0.9223302891087403,0.9560974723495339
38,100,10,2,1,sqrt,0.9917060202743018,1.0178866059135907
39,200,10,2,1,sqrt,0.9930905940828445,1.01921994043541
40,100,10,5,1,sqrt,0.9936727895044074,1.0194965826434825
41,100,10,10,1,sqrt,0.99652232351593,1.0198300243079528
42,200,10,5,1,sqrt,0.9947162467703102,1.0200272479851908
43,200,10,10,1,sqrt,0.9976571092098506,1.021139609585739
44,100,10,5,4,sqrt,0.9990393541442242,1.0213919916369858
45,200,10,5,4,sqrt,1.0000494758527143,1.022063119717202
46,100,10,10,4,sqrt,0.9998631304146572,1.0222793583454812
47,200,10,10,4,sqrt,1.0006044551382227,1.022576252617138
48,100,,2,2,1,0.9932935861720935,1.061850859070365
49,200,10,2,1,log2,1.0414953786159327,1.0621124209904367
50,100,10,5,1,log2,1.0427498174950347,1.062571756531139
51,200,,2,2,1,0.9962157983566022,1.0632329176405553
52,200,10,5,1,log2,1.0440210254161368,1.06373073178137
53,200,10,10,2,log2,1.0466345377551358,1.0644573232368804
54,100,10,10,2,log2,1.046229391783861,1.0644739513460164
55,100,,10,2,1,1.0257722035890402,1.0765638773793353
56,100,5,2,1,0.5,1.1001675136677294,1.1035199844986077
57,100,5,10,2,0.5,1.1002086980837766,1.1035526944030336
58,100,5,5,2,0.5,1.1001953575725574,1.103559005910179
59,100,5,10,1,0.5,1.100231722621389,1.1035746163986841
60,100,5,5,1,0.5,1.1002192550867753,1.1035816563383452
61,100,5,5,4,0.5,1.1003740264802477,1.1036533991850164
62,100,5,10,4,0.25,1.1238282857790656,1.1265842070775178
63,100,5,2,1,0.25,1.1239758726264053,1.1267591036130091
64,200,5,2,1,0.25,1.1242638527664208,1.1271731754094716
65,200,5,10,2,0.25,1.1244360776073377,1.1273470564490842
66,100,5,2,1,sqrt,1.183555956861548,1.1857020894619503
67,100,5,5,1,sqrt,1.1836733777322745,1.1857519712515783
68,100,5,5,4,sqrt,1.1842234385995078,1.1863344810881937
69,200,5,5,1,sqrt,1.1854511278818483,1.1876128861356436
70,200,5,2,2,sqrt,1.1856229606559805,1.187805118179199
71,200,5,10,2,sqrt,1.1860302158130027,1.188159979660577
72,100,,2,4,1,1.1825581728836536,1.197937500902206
72,100,,5,4,1,1.1825581728836536,1.197937500902206
74,100,5,2,4,log2,1.2227567207703574,1.2246505432509545
75,100,5,10,4,log2,1.2230361407753227,1.224896547425718
76,100,5,10,1,log2,1.2233739344789383,1.2252189122188488
77,200,5,10,1,log2,1.223676743788863,1.225553535014871
78,200,5,10,4,log2,1.223701121204884,1.2255569117762333
79,100,5,10,2,log2,1.2237906722285818,1.2256048151529182
80,200,5,10,2,log2,1.224038054214174,1.2258911946652895
81,200,5,5,1,log2,1.224496596396029,1.2263750824142874
82,200,5,2,1,log2,1.2248201478446483,1.226675465031107
83,200,5,2,2,log2,1.2249433398720304,1.2267669001467547
84,100,5,5,2,log2,1.2257724886493484,1.2274985711805788
85,200,10,2,1,1,1.2626553580001194,1.2680846038799938
86,100,10,2,1,1,1.2667014445830411,1.2722373397052276
87,100,10,5,4,1,1.2994804173908345,1.30235988637569
88,100,10,10,4,1,1.3022071940722437,1.3050850837909629
89,200,5,5,1,1,1.376306162853881,1.3768454099397178
90,100,5,5,2,1,1.385712935976479,1.3862748895462833
