rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
1,500,50,2,1,0.5,0.012254261193514002,0.571396123146572
2,200,50,2,1,0.5,0.012254261193514004,0.5721465360389567
3,300,,2,1,0.25,0.012254261193514002,0.5726676440221754
4,300,,4,1,0.5,0.07321828453449122,0.5731469541919219
5,200,,2,1,0.25,0.012254261193514004,0.5734826390038191
6,500,50,4,1,0.5,0.07309490423998,0.5739463324277243
7,200,50,5,1,0.5,0.10796686894348778,0.5758763372831188
8,500,,2,1,sqrt,0.012254261615787045,0.5764689039076246
9,500,,4,1,0.25,0.09238368668198102,0.5778433958202194
10,500,,2,2,0.5,0.1392896816686916,0.5783978557598695
10,500,50,2,2,0.5,0.13928968166869157,0.5783978557598695
12,300,50,4,1,0.25,0.09266392896059078,0.5783993274663267
13,200,50,2,2,0.5,0.14000141917462464,0.5785204100943656
14,200,50,2,1,sqrt,0.012254261193514004,0.5802121740636439
15,300,50,4,2,0.25,0.17406777398860784,0.5832260861614247
15,300,,2,2,0.25,0.17406777398860784,0.5832260861614247
15,300,50,2,2,0.25,0.17406777398860784,0.5832260861614247
18,300,,2,1,log2,0.01225426236649464,0.5834248745132837
19,500,,2,2,0.25,0.1736526838535588,0.5838745619761818
19,500,50,2,2,0.25,0.17365268385355878,0.5838745619761818
21,500,50,2,1,log2,0.012254262882606084,0.5839565963714406
22,500,,8,1,0.5,0.19092105162500783,0.5845091111922307
23,500,,4,1,sqrt,0.1326876319403361,0.5852715261007252
24,500,50,5,2,0.25,0.19998991027461813,0.5857521223169666
25,300,50,5,2,0.25,0.19979095351607534,0.5864398389717751
26,500,50,5,1,sqrt,0.18010465409819656,0.5871509540365043
27,500,,8,1,0.25,0.22350928342020884,0.587460466166538
28,300,,5,1,sqrt,0.18009893805651767,0.5886290669125647
29,300,50,8,1,0.25,0.22401934027808537,0.5887917884355274
30,300,50,8,2,0.5,0.23745138580306507,0.5889754125081317
31,500,50,8,2,0.5,0.23714252114863543,0.5899838846166614
32,200,,8,2,0.5,0.23739700873251765,0.5909450130615476
33,500,50,4,3,0.5,0.24482307326524347,0.5919065371279058
33,500,50,5,3,0.5,0.2448230732652435,0.5919065371279058
35,300,50,5,3,0.5,0.24539917024911825,0.593064384500113
36,200,,5,3,0.5,0.24587331246766675,0.593334998771048
36,200,,2,3,0.5,0.24587331246766672,0.593334998771048
36,200,50,4,3,0.5,0.24587331246766672,0.593334998771048
39,300,,8,2,0.25,0.2755374546178128,0.5960321455822634
40,300,,5,1,log2,0.21583736796305658,0.5984140916888525
41,500,50,8,3,0.5,0.27942944138126724,0.598920230230305
42,300,50,4,2,sqrt,0.24442107661335488,0.5992528971898975
43,200,,5,1,log2,0.21652206504023205,0.6001131649517898
44,200,50,8,3,0.5,0.27949044027836417,0.600570525685766
45,300,50,5,2,sqrt,0.2702862518760406,0.6026880468351489
46,500,50,2,3,0.25,0.28959199213866516,0.6030722369841907
47,300,,8,1,sqrt,0.2828623398312988,0.6031246895193221
47,300,50,8,1,sqrt,0.2828623398312988,0.6031246895193221
49,200,,2,3,0.25,0.2900232482850046,0.6033310318528231
49,200,50,5,3,0.25,0.2900232482850046,0.6033310318528231
51,300,50,4,3,0.25,0.28986415436907315,0.6034337129142776
52,300,50,5,3,0.25,0.28986415436907315,0.6034337129142777
54,500,50,2,4,0.5,0.3208459808714369,0.6053437067164548
53,500,50,5,4,0.5,0.3208459808714369,0.6053437067164548
55,300,50,5,4,0.5,0.3211627307306834,0.6054938456740253
56,200,50,8,4,0.5,0.3215853076106343,0.6058143539706519
57,300,10,5,1,0.5,0.31346821294715965,0.6067901890255811
58,300,10,4,1,0.5,0.3045055060161216,0.6078020845000296
59,200,10,2,2,0.5,0.31843236025856775,0.608861067833143
60,200,50,8,3,0.25,0.3222408076889258,0.6097453154560327
61,300,50,2,1,1,0.012254387722553509,0.6104224227242737
62,500,10,5,2,0.5,0.3272926255958458,0.6106590305286628
63,200,,2,1,1,0.012254261193514004,0.6110221606007047
64,300,10,8,1,0.5,0.34613041273612527,0.6118176484616674
65,500,10,8,1,0.5,0.3459599708010215,0.6120687380295806
66,200,10,2,1,0.25,0.32633815814523676,0.6142534531162027
67,500,10,2,1,0.25,0.32789595970139734,0.6145197823581723
68,500,10,2,3,0.5,0.3570650958704907,0.6160795013973424
69,500,50,8,2,sqrt,0.3439140388482798,0.6163306668954353
69,500,,8,2,sqrt,0.3439140388482798,0.6163306668954353
71,300,50,8,1,log2,0.3223756201101289,0.6165658774630055
72,300,10,2,3,0.5,0.357608670440926,0.6168276194243664
73,500,,8,1,log2,0.32254186242587457,0.6173076715323731
74,500,,4,4,0.25,0.3677634564062729,0.6175391702682713
75,300,,2,4,0.25,0.36771994897740645,0.6176615146585774
75,300,,5,4,0.25,0.3677199489774064,0.6176615146585774
75,300,,4,4,0.25,0.3677199489774064,0.6176615146585774
78,200,10,5,1,0.25,0.3515041395752068,0.6176689446399161
79,200,,8,4,0.25,0.3679379062281161,0.6177468420332803
79,200,50,8,4,0.25,0.3679379062281161,0.6177468420332803
81,200,50,4,4,0.25,0.3679379062281161,0.6177468420332805
82,500,50,4,2,log2,0.3062168033448552,0.6180124617925028
82,500,,4,2,log2,0.3062168033448552,0.6180124617925028
84,200,,2,2,log2,0.30630397317832986,0.6187978616165437
84,200,,4,2,log2,0.30630397317832986,0.6187978616165437
84,200,50,2,2,log2,0.30630397317832986,0.6187978616165437
87,200,50,8,2,sqrt,0.34475050679571684,0.6195258819106924
88,300,,5,2,log2,0.3280571803897829,0.6202868859887402
89,200,,5,2,log2,0.3280720032212947,0.6207298373431436
90,500,10,4,2,0.25,0.3606882065391409,0.6209323167988957
91,200,10,4,2,0.25,0.3596703874871408,0.6221105897695087
92,300,10,5,2,0.25,0.36918646445179576,0.6231159460091092
93,500,,4,3,sqrt,0.37327663991577065,0.6241919211511152
95,200,,5,3,sqrt,0.3740583850858599,0.6242753288712254
94,200,50,5,3,sqrt,0.3740583850858599,0.6242753288712254
96,300,,2,3,sqrt,0.37343228966341446,0.6243794533160244
96,300,,5,3,sqrt,0.37343228966341446,0.6243794533160244
96,300,50,2,3,sqrt,0.37343228966341446,0.6243794533160244
99,500,10,2,4,0.5,0.3951200323431337,0.6248485119501163
