rank_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_max_features,train_rmse,test_rmse
1,500,10,0.05,0.25,0.2749873630648618,0.7000813736524525
2,500,10,0.05,0.5,0.2789155281477097,0.7014808891596582
3,500,10,0.05,sqrt,0.27991307687163475,0.7041125261645982
4,300,10,0.05,0.25,0.34283401902844673,0.7066284895687238
5,500,10,0.1,0.25,0.21865924800809877,0.707898572923522
6,500,10,0.05,log2,0.2886986916873419,0.708247320676843
7,500,10,0.1,0.5,0.2214347566234873,0.7083656805032422
8,200,10,0.1,0.5,0.3087826468141399,0.7108063719816339
9,300,10,0.1,sqrt,0.2588194418431554,0.7123280321336702
10,300,10,0.05,sqrt,0.35762710191218094,0.7125493297715719
11,500,7,0.1,0.25,0.40641983050116776,0.7147051357272687
12,500,10,0.1,log2,0.21939085206884495,0.714748226207756
13,200,10,0.1,sqrt,0.3126694537553205,0.7154158308035062
14,200,10,0.05,0.25,0.40629371971296907,0.7172815087984332
15,200,10,0.05,0.5,0.4028007467609145,0.7177240977155068
16,500,7,0.1,0.5,0.39872732488631424,0.7178302357596937
17,300,10,0.05,log2,0.3714186972593758,0.718437851583613
18,200,10,0.1,log2,0.3230078368367544,0.7188298743038166
19,500,7,0.2,sqrt,0.31171051212576917,0.7203017081678497
20,500,7,0.2,0.5,0.2870889704161817,0.7209725929552177
21,500,7,0.1,sqrt,0.43143469847409904,0.7218925199710187
22,500,7,0.2,0.25,0.2930407582780544,0.7226340333766187
23,300,10,0.2,0.5,0.2132037852594556,0.7259843474277416
24,300,7,0.2,0.5,0.3712333584207052,0.7266534173483834
25,300,7,0.2,0.25,0.3782388480513644,0.7280813456549043
26,500,10,0.2,0.5,0.20267011302652388,0.7283872423190901
27,500,7,0.1,log2,0.4538196253603938,0.7285481822451053
28,300,10,0.2,0.25,0.21089941194637318,0.7289657606416
29,300,7,0.2,sqrt,0.4036526256998923,0.7302258672126424
30,200,10,0.2,log2,0.23706786164852195,0.7314743220577407
31,500,10,0.2,0.25,0.2021451164634933,0.7314780983732869
32,300,10,0.2,log2,0.21173870799236033,0.7331375591482611
