rank_test_score,param_n_estimators,param_max_depth,param_learning_rate,param_max_features,train_rmse,test_rmse
1,500,5,0.05,0.25,0.10875546159876921,0.5651921250701981
2,500,4,0.1,log2,0.1427044377536779,0.5655507744193223
3,500,5,0.05,0.5,0.10236264288861821,0.5663251614318849
4,500,7,0.1,log2,0.012611219032913717,0.5671109853690022
5,200,7,0.1,log2,0.04336445289747605,0.5675172784645657
6,500,7,0.05,log2,0.02737458726460902,0.5678150333739065
7,300,7,0.05,0.25,0.05146887625350432,0.5684542811549577
8,300,7,0.05,log2,0.06715232407637849,0.569522002229042
9,500,4,0.1,0.5,0.09061540800570941,0.5696664484945905
10,500,4,0.1,1.0,0.0863905653783558,0.570403676108531
11,200,7,0.05,0.25,0.09060944693174623,0.5709390337567638
12,300,5,0.05,0.25,0.18236843412665313,0.5710838879566097
13,300,5,0.05,0.5,0.17462289294130073,0.5711227988909126
14,200,7,0.05,0.5,0.08537588525413285,0.5714846523513389
15,500,10,0.01,log2,0.05352550166605236,0.5721412435020217
16,500,4,0.05,0.25,0.20503256600149533,0.5721654815715755
17,500,5,0.1,log2,0.0593233143566761,0.5722553711104251
18,500,7,0.1,0.5,0.012394676897335128,0.5724279339273299
19,500,4,0.05,0.5,0.19447944238181075,0.5726079717615616
20,300,4,0.1,0.5,0.16300561291479393,0.5728016134563344
21,500,10,0.01,0.25,0.03617102707390165,0.5735150345892873
22,500,5,0.1,sqrt,0.04791916698806663,0.5735501343688124
23,500,4,0.1,sqrt,0.12317256615579297,0.5735725197292438
24,500,5,0.05,sqrt,0.12607251410191936,0.5737145501648523
25,500,4,0.05,sqrt,0.2270877822543034,0.5739231976680154
26,300,4,0.1,1.0,0.1570856915240952,0.5748729525842494
27,300,5,0.1,sqrt,0.10181221822889815,0.5749740767581782
28,300,5,0.1,log2,0.12014703529935918,0.5751765696310013
29,200,7,0.05,sqrt,0.10331021614132052,0.5754180930141093
30,500,7,0.01,0.5,0.14938154417116045,0.5757761324802323
31,500,4,0.05,log2,0.24501536095304507,0.5760513115847252
32,500,4,0.05,1.0,0.18641765706960794,0.5763238560537254
33,500,3,0.1,0.25,0.21921345328841005,0.576688217776121
34,200,5,0.05,0.25,0.24694168668020972,0.57677018818275
35,300,4,0.2,0.5,0.07103209414031758,0.577275466914459
36,300,5,0.05,log2,0.223660456528641,0.5773056546360588
37,200,5,0.1,sqrt,0.161731800649149,0.577591782428996
38,200,5,0.05,0.5,0.23678591315494218,0.5777819894431931
39,500,5,0.2,0.5,0.013056702140827433,0.5782646622999017
40,500,5,0.05,1.0,0.10312860995927789,0.5782800994781868
41,500,7,0.1,0.25,0.012379433534526255,0.5782870688604379
42,300,7,0.1,0.25,0.016203146671964725,0.5783461955406082
43,300,5,0.2,0.5,0.025064121487447674,0.5784555688190053
44,200,4,0.2,0.5,0.12207055423936769,0.5784671929878527
45,200,5,0.1,0.25,0.1408005886607467,0.5785895974615571
46,200,4,0.1,1.0,0.22407831590651517,0.5790695516089227
47,500,10,0.05,log2,0.012256851035669394,0.5793062427973603
48,300,10,0.05,log2,0.012590102261227707,0.5793409609305171
49,500,4,0.1,0.25,0.10144677762498305,0.5795794458379095
50,500,7,0.1,sqrt,0.012433424637535181,0.5798093711471115
51,300,7,0.1,sqrt,0.017554644032487708,0.5798742415877652
52,200,7,0.1,sqrt,0.036498306091277466,0.5802560869294733
53,200,5,0.1,log2,0.18056179565474068,0.580437866434904
54,200,4,0.1,log2,0.28936585141719684,0.5809553328344395
55,300,10,0.01,0.25,0.10862536465584385,0.5814032995198296
56,500,10,0.05,0.25,0.012257085156309935,0.5815148226183304
57,300,10,0.05,0.25,0.012428140525175109,0.5815391850666092
58,500,3,0.1,sqrt,0.24583537729962032,0.5815533425282311
59,200,10,0.05,0.25,0.014047308212969975,0.5816848524100028
60,300,5,0.05,1.0,0.17391970473553742,0.5818825642297486
61,500,5,0.1,1.0,0.03346188679203019,0.5819706036764314
62,500,4,0.2,log2,0.06351106568462933,0.5822063438998366
63,300,4,0.05,0.25,0.2884618332540824,0.5822896033504453
64,300,7,0.1,1.0,0.016688097222519207,0.5824087516195309
65,300,4,0.1,0.25,0.1729701269431991,0.5824962751719011
66,500,10,0.05,sqrt,0.012256287946843773,0.5828201749109249
67,300,4,0.05,0.5,0.27790122726728267,0.5828389483154357
68,300,10,0.05,sqrt,0.012478505916461442,0.5828545391000225
69,500,3,0.1,log2,0.26720411020175333,0.5830842006347148
70,300,4,0.2,log2,0.12260106032046744,0.5833216232457535
71,300,5,0.1,1.0,0.0769622024346096,0.5836140145483502
72,300,7,0.2,log2,0.01232757493209266,0.583724725400544
73,300,10,0.01,sqrt,0.1232653316708371,0.5840963011726871
74,500,3,0.05,0.25,0.32808426575318744,0.5846592499813205
75,500,3,0.2,log2,0.16794987279727297,0.5851732774526216
76,500,10,0.05,0.5,0.012258911420358997,0.585337086468877
77,200,10,0.05,0.5,0.013812009776022498,0.5854717541455343
78,200,5,0.1,1.0,0.12790062613562875,0.5857320022280385
79,200,4,0.1,sqrt,0.2668701552559559,0.5862956493206858
80,200,7,0.05,1.0,0.08250706473625596,0.5865002608716504
81,300,3,0.1,0.25,0.3003835784312455,0.5866679361050192
82,500,10,0.1,log2,0.012254261221752091,0.587761301570884
83,200,10,0.1,log2,0.0122827980215183,0.587771147249961
84,300,10,0.2,log2,0.012254261193677243,0.5879754022351544
85,200,10,0.2,log2,0.012254262886120118,0.5879755029990943
86,300,3,0.2,log2,0.2445853854512336,0.5880243464573824
87,200,5,0.2,1.0,0.04939475720844761,0.588155297427293
88,300,5,0.2,1.0,0.0238161315121334,0.5883249892454443
89,500,3,0.1,1.0,0.19268097567880438,0.5883303838394957
90,500,5,0.2,1.0,0.01302148185857125,0.5883374159687383
91,200,4,0.1,0.25,0.24045422665162342,0.5887281840967161
92,500,3,0.05,sqrt,0.35099339546138314,0.588762543590533
93,200,5,0.05,log2,0.29062080009057767,0.5889587451685708
94,500,10,0.1,0.25,0.012254261368528085,0.5897800871255096
95,200,5,0.05,1.0,0.2321842319375799,0.5898063669374021
96,500,3,0.2,0.25,0.11807431560456519,0.5901328544125214
97,500,7,0.01,1.0,0.14438234598621638,0.5906454264368171
98,200,4,0.2,0.25,0.13680879424467496,0.5916380861918178
99,300,4,0.2,0.25,0.08276779664288358,0.5918042779870333
100,500,4,0.2,0.25,0.03578151916682282,0.591986021285104
101,300,7,0.01,0.5,0.23656455728001277,0.5921037193811292
102,500,4,0.2,sqrt,0.0498653009544404,0.5921676969173605
103,500,3,0.05,0.5,0.3139266236285392,0.5923733852948211
104,300,5,0.2,sqrt,0.03631761924585099,0.593009854073096
105,500,4,0.2,1.0,0.025992963646861673,0.5935234934326789
106,300,4,0.2,1.0,0.06401907121535667,0.5936727829401323
107,200,5,0.2,sqrt,0.07269605540683512,0.5939914266062425
108,500,3,0.05,1.0,0.3093121087605303,0.5944579085622577
109,500,10,0.1,0.5,0.01225426199738473,0.5946466678167899
110,200,10,0.1,0.5,0.012279582391142504,0.5946651301722795
111,300,10,0.1,sqrt,0.012254437731780372,0.5946721802771184
112,200,10,0.1,sqrt,0.012272823332961372,0.5946790966378298
113,300,3,0.1,log2,0.3459442550025805,0.5947432726955224
114,300,3,0.2,0.25,0.19167347072833674,0.5947775124971001
115,300,3,0.1,1.0,0.27415869452006736,0.5951193330950197
116,200,3,0.2,log2,0.30714725366372514,0.5961250978687376
117,200,4,0.05,0.25,0.35359571667215933,0.5966366713063165
118,500,3,0.2,0.5,0.1023125640150583,0.5966827103106161
119,500,5,0.01,0.25,0.34652759198290906,0.5974201872266134
120,200,3,0.2,0.25,0.25594034244438263,0.5978664973878797
121,500,5,0.01,0.5,0.33251845955307824,0.598127229120572
122,200,3,0.1,0.5,0.34901364673604063,0.5986034180594533
123,500,7,0.2,0.25,0.012254293304827718,0.5986082883100373
124,300,7,0.2,0.25,0.012277706464492008,0.5986176272424685
125,500,3,0.2,1.0,0.09266082864452135,0.5989002769690459
126,500,7,0.2,sqrt,0.012254306065206848,0.5989636468233427
127,300,7,0.2,sqrt,0.012290066635220013,0.5989692846588123
128,300,5,0.2,0.25,0.02777775882952622,0.5994076578668986
129,300,3,0.2,sqrt,0.2231464497748837,0.6001648421351002
130,500,7,0.2,1.0,0.012254348341099605,0.6003950168658823
131,300,7,0.2,1.0,0.012287389334823946,0.6003953122873298
132,200,7,0.2,1.0,0.013068824920502327,0.600476993970997
133,500,7,0.2,0.5,0.012254306118080708,0.6005215205940759
134,300,7,0.2,0.5,0.012282517413054101,0.6005261730692215
135,300,3,0.2,1.0,0.16489791441791413,0.600568722994548
136,200,3,0.2,1.0,0.22800207299369274,0.600732691057665
137,300,7,0.01,sqrt,0.28606994481414344,0.6010796562617621
138,200,4,0.05,sqrt,0.3758576024523283,0.6012621608570439
139,300,3,0.05,0.25,0.40583639392618,0.6028384815649115
140,200,3,0.2,0.5,0.24125729284736294,0.6030415660951499
141,200,3,0.2,sqrt,0.2874144361513233,0.6036475299947068
142,200,3,0.1,sqrt,0.38795982829538517,0.6044517310531135
143,200,10,0.01,0.25,0.22116012064441387,0.6055445767532694
144,200,4,0.05,log2,0.39687055034851715,0.6071990857066737
145,500,5,0.2,log2,0.018386852979491854,0.6079957902126076
146,500,10,0.2,0.25,0.012254261193517494,0.6082383390757747
147,300,10,0.2,0.25,0.012254261195256657,0.608238342970511
148,300,5,0.2,log2,0.04656231723763031,0.6084978169415297
149,300,3,0.05,sqrt,0.4261876161227707,0.6086907087966181
150,300,3,0.05,0.5,0.39396883744816014,0.608799395503507
