rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
1,500,10,0.05,0.25,1.0,0.20582958275745838,0.6363175705886417
2,200,10,0.05,0.25,1.0,0.27424270328724226,0.6375135323260904
3,500,10,0.05,0.5,1.0,0.2072952493526052,0.6377343694329156
4,500,7,0.1,0.25,1.0,0.26641464964375366,0.6382663570602789
5,500,7,0.1,0.5,1.0,0.2627935496053246,0.6386307381653478
6,200,10,0.05,0.5,1.0,0.2745058965251629,0.6391541899444428
7,500,10,0.05,0.25,0.75,0.2314560848108829,0.6414930423001862
8,500,10,0.05,log2,1.0,0.20852336737588534,0.6421329382576456
9,500,7,0.1,sqrt,1.0,0.2819591894918005,0.6421598805159469
10,200,10,0.1,0.25,1.0,0.21735879888128004,0.6426925011808703
11,500,10,0.05,0.5,0.75,0.2340170948581306,0.6427269408118083
12,500,7,0.05,0.5,0.75,0.3591530278167566,0.6427691760889884
13,200,10,0.05,0.5,0.75,0.2927027357186922,0.6428181026708821
14,500,7,0.05,0.5,1.0,0.36585138317980853,0.6430531423908248
15,200,10,0.1,0.5,1.0,0.21891386715424802,0.6447537358528791
16,100,10,0.1,0.25,1.0,0.2773976432677775,0.6449845516677238
17,500,7,0.05,sqrt,1.0,0.3886371136912613,0.6457317636149836
18,500,10,0.01,0.5,1.0,0.34445444349160304,0.6457535720786712
19,500,10,0.05,sqrt,0.75,0.23018345217104472,0.6470543518853928
20,200,10,0.05,log2,1.0,0.2980506905632404,0.6471284409657447
21,500,10,0.05,log2,0.75,0.23142964107953765,0.6476867554493073
22,500,10,0.1,0.25,1.0,0.19099719885031782,0.648129940780937
23,500,7,0.1,0.25,0.75,0.28677527517459994,0.6491056226890372
24,500,10,0.05,0.5,0.5,0.25784837835012203,0.6496483098210442
25,200,10,0.05,sqrt,0.75,0.30910579820246414,0.6497645313960385
26,500,10,0.1,0.5,1.0,0.19126921925323764,0.6497902741544238
27,200,10,0.1,log2,1.0,0.22443278169943479,0.6499235800008709
28,500,7,0.1,0.5,0.75,0.28524799808806756,0.6499542159477751
