rank_test_score,param_gbr__n_estimators,param_gbr__max_depth,param_gbr__learning_rate,param_gbr__max_features,param_gbr__subsample,train_rmse,test_rmse
1,500,5,0.05,1.0,0.75,0.09174483405006108,0.5602351040712295
2,300,5,0.05,1.0,0.75,0.16146544789902936,0.5634887562354784
3,500,7,0.05,log2,0.75,0.03524455315734353,0.5636797611700568
4,500,5,0.05,0.25,0.5,0.1332945760427251,0.5642003587533101
5,500,7,0.05,sqrt,0.75,0.029567544300392722,0.5648403458497837
6,300,7,0.05,log2,0.75,0.0814290097094663,0.5653299812792155
7,500,5,0.05,1.0,0.5,0.1091138548502239,0.5654563822614779
8,500,5,0.05,0.25,1.0,0.10838143305902583,0.5657170082455084
9,300,7,0.05,sqrt,0.75,0.07007370483593477,0.5658765057347936
10,500,4,0.1,log2,1.0,0.14121131392267125,0.5659055935666254
11,500,5,0.05,0.5,0.5,0.12020337158334848,0.5665531979571031
12,500,7,0.1,log2,1.0,0.012563685551529003,0.5666554292221908
13,300,7,0.1,log2,1.0,0.019647017182655754,0.5667471837539705
14,500,7,0.05,0.25,0.75,0.02411804584841145,0.5676085433289161
15,200,7,0.1,log2,1.0,0.042516964334818046,0.56767944607397
16,500,5,0.1,sqrt,1.0,0.048309923699937134,0.5680879377936053
17,500,7,0.05,1.0,0.5,0.03324448755288824,0.568109135753915
18,500,7,0.05,0.5,0.75,0.023043673451584538,0.5681323412610965
19,300,7,0.05,1.0,0.5,0.07467017552887127,0.5681376993656456
20,500,7,0.05,0.5,1.0,0.021329617819502048,0.568149846620206
21,200,7,0.05,log2,0.75,0.13495048714647268,0.5681757619365608
22,200,7,0.05,sqrt,0.75,0.11925613502540365,0.5682787696373116
23,500,7,0.05,0.5,0.5,0.035577299322415296,0.5683727823635353
24,500,7,0.05,0.25,1.0,0.02132138892853592,0.5684642479961458
25,300,7,0.05,0.25,0.75,0.05774678013076021,0.5685956845211835
26,500,10,0.01,0.5,0.5,0.1266500051790359,0.5687115491510871
27,300,5,0.05,1.0,0.5,0.18598268493175185,0.5687140563968992
28,300,7,0.05,0.5,0.75,0.053074997225190976,0.5688879645568504
29,500,4,0.05,0.25,0.75,0.20118438147388895,0.5689597077772712
30,500,7,0.05,1.0,0.75,0.022095029716647657,0.569235416401067
31,300,7,0.05,0.25,1.0,0.050714503787122285,0.5692472904904409
32,300,7,0.05,0.5,1.0,0.049306922059383786,0.569395880504551
33,500,4,0.1,0.5,1.0,0.09057225169944773,0.5695602677705003
34,200,5,0.05,1.0,0.75,0.22392763393826015,0.5695638260000025
35,300,5,0.05,0.5,0.5,0.19730067508605362,0.5696043357225431
36,300,7,0.05,0.5,0.5,0.07954029290899597,0.5696389678632793
37,500,5,0.1,0.5,1.0,0.0337722664258189,0.5697231742415351
38,200,7,0.05,1.0,0.5,0.12531657186501025,0.5697343459095601
39,500,7,0.05,sqrt,1.0,0.023565317575366902,0.5698513505682987
40,500,5,0.05,0.5,0.75,0.09882371702865383,0.5698831072073461
41,500,5,0.05,0.25,0.75,0.10984097014624711,0.5699237705704733
42,300,5,0.1,sqrt,1.0,0.10275553714265961,0.5699897746543321
43,500,10,0.05,log2,0.75,0.012392344773457135,0.5700116289339711
