rank_test_score,param_n_neighbors,param_weights,param_p,train_r2,test_r2
1,24,distance,1,0.9920569711251783,0.643952866104085
2,32,distance,1,0.9920569711251783,0.6370112140318265
3,40,distance,1,0.9920569711251783,0.6309317833634207
4,48,distance,1,0.9920569711251783,0.6257008291665922
5,56,distance,1,0.9920569711251783,0.6208423189228371
6,64,distance,1,0.9920569711251783,0.6167238022839673
7,72,distance,1,0.9920569711251783,0.6130443834764593
8,80,distance,1,0.9920569711251783,0.609545257035876
9,88,distance,1,0.9920569711251783,0.6063650738548773
10,24,distance,2,0.9812058721741559,0.6062558333729712
11,96,distance,1,0.9920569711251783,0.6034391656201887
12,104,distance,1,0.9920569711251783,0.6005206280042228
13,32,distance,2,0.9812068498850792,0.6002462681611413
14,112,distance,1,0.9920569711251783,0.5978354144193687
15,120,distance,1,0.9920569711251783,0.5953631592603041
16,40,distance,2,0.9812068497776674,0.5948435978174171
17,48,distance,2,0.9812068497236716,0.5902081037793712
18,56,distance,2,0.9812068496003947,0.585853354818691
19,64,distance,2,0.9812068494590296,0.5816434727013079
20,72,distance,2,0.9812068492989449,0.5781227457851102
21,80,distance,2,0.9812068491359927,0.5748274786961866
22,88,distance,2,0.981206849020651,0.5714927246471768
23,96,distance,2,0.9812068488665103,0.5682982696682881
24,104,distance,2,0.981206848691283,0.5655277710997044
25,112,distance,2,0.9812068484899429,0.562847425963582
26,120,distance,2,0.9812068483230671,0.5604155870586236
27,24,uniform,1,0.5926864093565226,0.5535499899934979
28,32,uniform,1,0.5693460967935893,0.5392264440340918
29,40,uniform,1,0.5514365419611895,0.5262044335954817
30,48,uniform,1,0.5376717132341322,0.5157930219506486
31,56,uniform,1,0.5259755782434195,0.5067062122562641
32,64,uniform,1,0.5164522428718714,0.49936233296654475
33,24,uniform,2,0.5406940906016545,0.49743622292867806
34,72,uniform,1,0.5080334746454482,0.49269805705426534
35,32,uniform,2,0.5164328087869959,0.48299044308004974
36,88,uniform,1,0.4940072693785552,0.4810153643111879
37,96,uniform,1,0.48806465336523186,0.4760256024186704
38,40,uniform,2,0.4993194048240596,0.4717327336887919
39,104,uniform,1,0.4824112907694106,0.47114563557136746
40,112,uniform,1,0.47724206565479765,0.46644003086135
41,120,uniform,1,0.47245924112806736,0.4623867239549577
42,48,uniform,2,0.48499169170531464,0.46190501780271154
43,56,uniform,2,0.47398742415496925,0.4537239981142693
44,64,uniform,2,0.46456901631665415,0.44624249084075807
45,72,uniform,2,0.45632770151721874,0.43984196081207283
46,80,uniform,2,0.4493386531173308,0.4343127629530296
47,88,uniform,2,0.44307701696407154,0.4289001251741644
48,104,uniform,2,0.4312881024106254,0.41883214999618046
49,112,uniform,2,0.4260660029420644,0.4144407891723783
50,120,uniform,2,0.42115420294941497,0.410471401370436
