rank_test_score,param_n_neighbors,param_weights,param_p,param_metric,train_rmse,test_rmse
1,7,distance,1,minkowski,0.012254261193514002,0.7064266372365328
2,5,distance,1,minkowski,0.012254261193514002,0.7073251421966622
3,9,distance,1,manhattan,0.012254261193514002,0.7148505549404305
3,9,distance,2,manhattan,0.012254261193514002,0.7148505549404305
5,3,distance,2,manhattan,0.012254261193514002,0.7153889960295975
6,11,distance,1,manhattan,0.012254261193514002,0.7190447719968324
6,11,distance,2,manhattan,0.012254261193514002,0.7190447719968324
8,13,distance,1,minkowski,0.012254261193514002,0.7240357836543593
9,15,distance,2,manhattan,0.012254261193514002,0.7278108050945667
10,17,distance,2,manhattan,0.012254261193514002,0.7310312301174293
10,17,distance,1,minkowski,0.012254261193514002,0.7310312301174293
12,19,distance,2,manhattan,0.012254261193514002,0.7355475369346324
13,21,distance,2,manhattan,0.012254261193514002,0.7408550073551736
14,3,uniform,1,manhattan,0.49751173149838956,0.7435098750338882
14,3,uniform,2,manhattan,0.49751173149838956,0.7435098750338882
16,23,distance,2,manhattan,0.012254261193514002,0.7449248739495986
16,23,distance,1,minkowski,0.012254261193514002,0.7449248739495986
18,27,distance,2,manhattan,0.012254261193514002,0.7504984377645314
18,27,distance,1,minkowski,0.012254261193514002,0.7504984377645314
20,29,distance,1,minkowski,0.012254261193514002,0.7530068284437892
21,7,uniform,1,manhattan,0.6455412659441487,0.7531512202697294
22,33,distance,2,manhattan,0.012254261193514002,0.7564282515264859
22,33,distance,1,minkowski,0.012254261193514002,0.7564282515264859
24,7,distance,2,euclidean,0.012254261323726883,0.756561428773543
25,35,distance,1,minkowski,0.012254261193514002,0.757659530086703
26,5,distance,2,euclidean,0.012254261295283373,0.7597515105467534
27,37,distance,1,manhattan,0.012254261193514002,0.7612140675049316
28,41,distance,2,manhattan,0.012254261193514002,0.7656513819231536
29,13,distance,2,minkowski,0.01225426141319618,0.7662226738372803
29,13,distance,2,euclidean,0.01225426141319618,0.7662226738372803
31,15,distance,2,minkowski,0.012254261447113493,0.7691611793135001
32,45,distance,1,manhattan,0.012254261193514002,0.7697409072401146
33,9,uniform,1,manhattan,0.6813599935853761,0.7699375127376035
33,9,uniform,2,manhattan,0.6813599935853761,0.7699375127376035
35,17,distance,2,euclidean,0.01225426148188679,0.7730277087673483
