rank_test_score,param_knn__n_neighbors,param_knn__weights,param_knn__p,param_knn__metric,train_rmse,test_rmse
1,11,distance,1,minkowski,0.1323966659420553,0.8342222296300409
1,11,distance,2,manhattan,0.1323966659420553,0.8342222296300409
1,11,distance,1,manhattan,0.1323966659420553,0.8342222296300409
4,19,distance,1,manhattan,0.1323963546387041,0.8420593105224544
4,19,distance,2,manhattan,0.1323963546387041,0.8420593105224544
6,21,distance,2,manhattan,0.1323963546387041,0.8439617694900571
6,21,distance,1,minkowski,0.1323963546387041,0.8439617694900571
6,21,distance,1,manhattan,0.1323963546387041,0.8439617694900571
9,35,distance,1,minkowski,0.1323963546387041,0.8578061366584574
10,3,distance,1,manhattan,0.1334079963372484,0.8594011831662338
11,11,distance,2,euclidean,0.20188655164152997,0.8621386698149597
12,43,distance,1,minkowski,0.1323963546387041,0.8650029020926732
13,19,distance,1,euclidean,0.2018324988843093,0.8702200633490408
14,51,distance,1,manhattan,0.1323963546387041,0.8703440816525082
14,51,distance,1,minkowski,0.1323963546387041,0.8703440816525082
16,59,distance,1,manhattan,0.1323963546387041,0.8753555250924849
16,59,distance,1,minkowski,0.1323963546387041,0.8753555250924849
18,27,distance,2,euclidean,0.20182145416093303,0.8786253483340501
19,67,distance,1,manhattan,0.1323963546387041,0.8803326178789732
20,71,distance,1,minkowski,0.1323963546387041,0.8826360827137095
21,35,distance,2,euclidean,0.20182077954407235,0.885754542711822
22,3,uniform,1,manhattan,0.6035812562568276,0.8879562861729594
23,83,distance,2,manhattan,0.1323963546387041,0.888708433279035
23,83,distance,1,manhattan,0.1323963546387041,0.888708433279035
25,43,distance,2,minkowski,0.20182077951564625,0.8918482890901683
26,91,distance,1,manhattan,0.1323963546387041,0.8922082106865147
26,91,distance,2,manhattan,0.1323963546387041,0.8922082106865147
28,99,distance,2,manhattan,0.1323963546387041,0.8956069666499623
28,99,distance,1,minkowski,0.1323963546387041,0.8956069666499623
30,51,distance,2,minkowski,0.20182077946541788,0.8975166552321261
30,51,distance,1,euclidean,0.20182077946541788,0.8975166552321261
32,11,uniform,1,manhattan,0.8166189397356843,0.9032640752980119
32,11,uniform,1,minkowski,0.8166189397356843,0.9032640752980119
34,67,distance,1,euclidean,0.20182077932806322,0.9071538043782232
35,71,distance,2,euclidean,0.2018207792673752,0.9090029203856388
36,75,distance,1,euclidean,0.20182077921765745,0.9108390987306644
37,83,distance,2,minkowski,0.20182077918143165,0.9144578984419727
38,91,distance,2,minkowski,0.20182077906844098,0.9174960915086208
38,91,distance,1,euclidean,0.20182077906844098,0.9174960915086208
40,19,distance,2,chebyshev,0.1323963546387041,0.9208717403686345
41,3,uniform,2,euclidean,0.6239728229804103,0.9209770903221296
42,19,uniform,1,manhattan,0.8715888462893443,0.9242023784272996
42,19,uniform,2,manhattan,0.8715888462893443,0.9242023784272996
44,21,distance,1,chebyshev,0.1323963546387041,0.9243621113262145
44,21,distance,2,chebyshev,0.1323963546387041,0.9243621113262145
46,3,distance,1,chebyshev,0.1334079963372484,0.927726896195995
47,21,uniform,2,manhattan,0.8809276056091595,0.9287939264681769
47,21,uniform,1,manhattan,0.8809276056091595,0.9287939264681769
49,11,uniform,2,euclidean,0.8480068755180975,0.9374286851711258
49,11,uniform,2,minkowski,0.8480068755180975,0.9374286851711258
49,11,uniform,2,minkowski,0.8480068755180975,0.9374286851711258
52,27,uniform,1,minkowski,0.9037832920491768,0.9419203325007637
52,27,uniform,2,manhattan,0.9037832920491768,0.9419203325007637
54,35,distance,2,chebyshev,0.1323963546387041,0.9447712045308067
55,35,uniform,1,manhattan,0.9245238908556258,0.954030089171348
55,35,uniform,2,manhattan,0.9245238908556258,0.954030089171348
57,19,uniform,2,euclidean,0.9036062112101273,0.9578239250368834
58,51,distance,2,chebyshev,0.1323963546387041,0.9616159465459859
58,51,distance,1,chebyshev,0.1323963546387041,0.9616159465459859
60,43,uniform,1,minkowski,0.9409004423385307,0.9652012706073518
60,43,uniform,2,manhattan,0.9409004423385307,0.9652012706073518
62,59,distance,1,chebyshev,0.1323963546387041,0.9675027548520937
63,51,uniform,1,manhattan,0.9535828447538669,0.9735378375540937
64,71,distance,1,chebyshev,0.1323963546387041,0.975272843128947
65,59,uniform,1,minkowski,0.9634423506744951,0.9810581960092688
66,35,uniform,1,euclidean,0.9561145681513358,0.9862700119141977
66,35,uniform,2,euclidean,0.9561145681513358,0.9862700119141977
68,91,distance,2,chebyshev,0.1323963546387041,0.9863721686959195
68,91,distance,1,chebyshev,0.1323963546387041,0.9863721686959195
70,99,distance,1,chebyshev,0.1323963546387041,0.9904260637446204
71,75,uniform,1,manhattan,0.9808460963005757,0.9951533946617696
72,43,uniform,2,minkowski,0.9709376775805735,0.996200915233862
72,43,uniform,2,euclidean,0.9709376775805735,0.996200915233862
74,11,uniform,2,chebyshev,0.9021587927884209,0.9982930826117186
75,83,uniform,1,minkowski,0.988022151957374,1.0014457509581727
76,51,uniform,1,euclidean,0.9828957984599381,1.0047219290375928
76,51,uniform,1,euclidean,0.9828957984599381,1.0047219290375928
78,91,uniform,1,manhattan,0.994560718450487,1.006888825836936
79,99,uniform,2,manhattan,1.0004066040010118,1.011962372157684
79,99,uniform,1,minkowski,1.0004066040010118,1.011962372157684
79,99,uniform,1,manhattan,1.0004066040010118,1.011962372157684
82,59,uniform,2,euclidean,0.9934782995518817,1.012538724443761
83,71,uniform,2,euclidean,1.006597649236193,1.0223028850932239
84,75,uniform,2,euclidean,1.010225078813677,1.0253481304103684
85,19,uniform,2,chebyshev,0.9694906971993964,1.0274049767862274
85,19,uniform,1,chebyshev,0.9694906971993964,1.0274049767862274
87,83,uniform,2,euclidean,1.016720661651684,1.0308059003053016
88,21,uniform,2,chebyshev,0.9806832122662898,1.0339001428138415
89,91,uniform,2,minkowski,1.0224743232809441,1.035426423823503
89,91,uniform,2,euclidean,1.0224743232809441,1.035426423823503
91,27,uniform,1,chebyshev,1.0088454030792673,1.050933716835453
92,35,uniform,2,chebyshev,1.0362775882850346,1.0694205054204666
92,35,uniform,1,chebyshev,1.0362775882850346,1.0694205054204666
94,43,uniform,2,chebyshev,1.0566952654932473,1.0849174229349463
95,51,uniform,1,chebyshev,1.0726498718855542,1.0969773693218923
96,67,uniform,2,chebyshev,1.0953547255016018,1.1141973731629273
97,71,uniform,1,chebyshev,1.0999825535730026,1.118023557501224
98,91,uniform,1,chebyshev,1.119288077128169,1.1337319012428309
98,91,uniform,2,chebyshev,1.119288077128169,1.1337319012428309
100,99,uniform,1,chebyshev,1.126394737155205,1.1396383363861116
