rank_test_score,param_ridge__alpha,param_nystroem__n_components,train_rmse,test_rmse
1,0.05,2400,0.24866403715947935,0.4972344186946358
2,0.05,2200,0.2613697693000689,0.50116407042416
3,0.1,2400,0.29293692379346714,0.503983082685365
4,0.1,2200,0.30252087561780766,0.5069075091153475
5,0.05,2000,0.2751508852955988,0.5073595924667715
6,0.05,1800,0.29150617959044406,0.5095408671110292
7,0.15000000000000002,2400,0.3212133171656533,0.5108352237493343
8,0.1,2000,0.3134714388551489,0.5131516726899983
9,0.15000000000000002,2200,0.3291617184797872,0.5133792605141932
10,0.05,1600,0.304398924303968,0.5147649910831762
11,0.1,1800,0.3261001320927288,0.5155999646480046
12,0.2,2400,0.3421743779208734,0.5170671654037706
13,0.15000000000000002,2000,0.3385863389091246,0.5193830015194693
14,0.2,2200,0.34906462907502506,0.5193903349549389
15,0.1,1600,0.3362391922909238,0.5197471569350544
16,0.15000000000000002,1800,0.3492663235141976,0.522019189820297
17,0.25,2400,0.35888450240728803,0.522678253664039
18,0.05,1400,0.3238498485013569,0.5238767411988563
19,0.25,2200,0.3650154225840431,0.5248437675958718
20,0.2,2000,0.3574613443793759,0.525091707775744
21,0.15000000000000002,1600,0.35789212289161204,0.5255606882795392
22,0.1,1400,0.3520387388415989,0.5273166512371741
23,0.3,2400,0.3728023902022488,0.5277537229010398
24,0.2,1800,0.36687874873783843,0.5278539104993889
25,0.3,2200,0.3783533502173646,0.5297941450534047
26,0.25,2000,0.3726452063642322,0.5302402752208606
27,0.2,1600,0.37449383812595904,0.5309756817972011
28,0.15000000000000002,1400,0.37169102787561104,0.5321557945159525
29,0.35000000000000003,2400,0.3847407133970951,0.5323781102063656
30,0.25,1800,0.381153111721562,0.5330860286387835
31,0.35000000000000003,2200,0.389829775435664,0.5343134482507546
32,0.3,2000,0.38537680183562223,0.534901978322764
33,0.05,1200,0.34647619909260313,0.5357152872417805
34,0.25,1600,0.38802924027666597,0.5358911158845077
35,0.4,2400,0.3951998357635382,0.5366220550139869
36,0.2,1400,0.38694736978065575,0.5368820268786134
37,0.3,1800,0.3931860540121618,0.537801353890909
38,0.1,1200,0.370594320772248,0.5384126795580219
39,0.4,2200,0.3999097761286377,0.5384661561060962
40,0.35000000000000003,2000,0.3963557482286496,0.539154252417604
41,0.3,1600,0.39949154980181045,0.5403563697830199
42,0.45,2400,0.4045101855371664,0.5405425222630288
43,0.25,1400,0.39948063365483066,0.5412717729607505
44,0.35000000000000003,1800,0.4036046046005011,0.5420855917106499
45,0.45,2200,0.4089017821516526,0.5423057645308362
46,0.15000000000000002,1200,0.38790441940599724,0.5424862598434341
47,0.4,2000,0.40601690108086425,0.5430621916481703
48,0.05,1000,0.3690369562056688,0.5441638648194225
49,0.5,2400,0.41290164919708233,0.5441853055106959
50,0.35000000000000003,1600,0.4094525990274111,0.5444372045813204
51,0.3,1400,0.4101499364087581,0.5453156818884756
52,0.1,1000,0.38925579372350166,0.5457315234956407
53,0.5,2200,0.4170211292856901,0.5458758938015126
54,0.4,1800,0.41280209641477533,0.5460095047050536
55,0.2,1200,0.40154219674696967,0.5465401291339087
56,0.45,2000,0.4146494596930607,0.5466780973707104
57,0.55,2400,0.4205407674785318,0.547587470465619
58,0.4,1600,0.4182729741934631,0.5481920505360298
59,0.15000000000000002,1000,0.40431053785131077,0.5489594751312552
60,0.35000000000000003,1400,0.41945818752305564,0.5490475077031489
61,0.55,2200,0.42442428371062835,0.5492121320380964
62,0.45,1800,0.421041987603621,0.5496294051083679
63,0.5,2000,0.42245574145311915,0.5500437845257381
64,0.25,1200,0.4128535058883632,0.5503486840213707
65,0.6000000000000001,2400,0.4275521580465537,0.5507793175334832
66,0.45,1600,0.4261952536222796,0.5516690116630308
67,0.6000000000000001,2200,0.43122862902082465,0.5523437108083186
68,0.2,1000,0.4164011226287271,0.5523875502701115
69,0.4,1400,0.4277261437164847,0.5525064191893827
70,0.5,1800,0.4285096492682955,0.5529900188789006
71,0.55,2000,0.4295829796529601,0.5531929200678658
72,0.05,800,0.39974425326905616,0.5537648159585781
73,0.6500000000000001,2400,0.4340315709862766,0.5537858786096148
74,0.3,1200,0.4225505554692257,0.5538877070471535
75,0.5,1600,0.433390771862675,0.5549070763498974
76,0.6500000000000001,2200,0.43752456412857,0.5552948519133988
77,0.1,800,0.41552676403814404,0.5553715928454077
78,0.25,1000,0.426552555605144,0.555715648876915
79,0.45,1400,0.4351713707280103,0.5557280325184774
80,0.55,1800,0.43534062427498155,0.5561271694054483
81,0.6000000000000001,2000,0.4361417691170194,0.5561529011373765
82,0.7000000000000001,2400,0.44005421781458653,0.5566280447943793
83,0.35000000000000003,1200,0.4310577535584604,0.5571770029757893
84,0.55,1600,0.4399852423358852,0.557937913075002
85,0.7000000000000001,2200,0.44338324305185817,0.5580858104746969
86,0.15000000000000002,800,0.42774785456634634,0.5584140164712117
87,0.5,1400,0.4419484895919952,0.5587427677175617
88,0.3,1000,0.4353310515285147,0.5588729890308018
89,0.6500000000000001,2000,0.4422173716112535,0.5589462772960966
90,0.6000000000000001,1800,0.4416371348631184,0.5590698782004919
91,0.7500000000000001,2400,0.4456802905594254,0.5593234178734025
