rank_test_score,param_lasso__alpha,train_rmse,test_rmse
1,0.05,1.1785243498759184,1.1792301031146
2,0.1,1.2103457518720429,1.2107601272603497
3,0.15000000000000002,1.2417717484967734,1.2421505087962557
4,0.2,1.279493230625193,1.2798536086578716
5,0.25,1.3155999095528497,1.3159182809338277
6,0.3,1.3505090601046947,1.3508750324292655
7,0.35000000000000003,1.3793293120473407,1.3796114013987537
8,0.4,1.4017022155993428,1.4019742168320117
9,0.45,1.4257188560410328,1.4259686107345124
10,0.5,1.4481690149322632,1.4483180283935382
11,0.55,1.468522142074036,1.4686228932462855
12,0.6000000000000001,1.4766413411241606,1.4766463374732743
12,0.6500000000000001,1.4766413411241606,1.4766463374732743
12,0.7000000000000001,1.4766413411241606,1.4766463374732743
12,0.7500000000000001,1.4766413411241606,1.4766463374732743
12,0.8,1.4766413411241606,1.4766463374732743
12,0.8500000000000001,1.4766413411241606,1.4766463374732743
12,0.9000000000000001,1.4766413411241606,1.4766463374732743
12,0.9500000000000001,1.4766413411241606,1.4766463374732743
12,1.0,1.4766413411241606,1.4766463374732743
