rank_test_score,param_lasso__alpha,train_rmse,test_rmse
1,0.1,0.7784616059861539,0.7852451374203059
2,0.15000000000000002,0.8113034433446963,0.8150572989096158
3,0.2,0.8400337820634666,0.8436192791650964
4,0.25,0.8629601697944398,0.8662386648891298
5,0.3,0.8848958409593226,0.8882244945713741
6,0.35000000000000003,0.9101383924504005,0.9135112723823572
7,0.4,0.9384211413568048,0.9418333463630334
8,0.45,0.9694778496250233,0.9729255049025732
9,0.5,1.0030392969730006,1.0065090960628937
10,0.55,1.0387279925241293,1.0420894312149296
11,0.6000000000000001,1.0761877805960838,1.0794368085087676
12,0.6500000000000001,1.11516040447752,1.1184018461312462
13,0.7000000000000001,1.1546337750053406,1.1576022501746246
14,0.7500000000000001,1.1767207672164033,1.1779738284687562
14,0.8,1.1767207672164033,1.1779738284687562
14,0.8500000000000001,1.1767207672164033,1.1779738284687562
14,1.2500000000000002,1.1767207672164033,1.1779738284687562
14,0.9000000000000001,1.1767207672164033,1.1779738284687562
14,0.9500000000000001,1.1767207672164033,1.1779738284687562
14,1.0,1.1767207672164033,1.1779738284687562
14,1.05,1.1767207672164033,1.1779738284687562
14,1.1,1.1767207672164033,1.1779738284687562
14,1.1500000000000001,1.1767207672164033,1.1779738284687562
14,1.2000000000000002,1.1767207672164033,1.1779738284687562
14,1.4500000000000002,1.1767207672164033,1.1779738284687562
14,1.3,1.1767207672164033,1.1779738284687562
14,1.35,1.1767207672164033,1.1779738284687562
14,1.4000000000000001,1.1767207672164033,1.1779738284687562
14,1.55,1.1767207672164033,1.1779738284687562
14,1.5000000000000002,1.1767207672164033,1.1779738284687562
14,1.6,1.1767207672164033,1.1779738284687562
14,1.6500000000000001,1.1767207672164033,1.1779738284687562
14,1.85,1.1767207672164033,1.1779738284687562
14,1.7000000000000002,1.1767207672164033,1.1779738284687562
14,1.7500000000000002,1.1767207672164033,1.1779738284687562
14,1.8,1.1767207672164033,1.1779738284687562
14,1.9500000000000002,1.1767207672164033,1.1779738284687562
14,1.9000000000000001,1.1767207672164033,1.1779738284687562
14,2.0,1.1767207672164033,1.1779738284687562
40,0.05,0.7228848983924274,3932.758351154765
