rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,train_rmse,test_rmse
1,0.2,-1,500,0.43364652846075763,0.7210789809024657
2,0.2,8,500,0.4427516496587995,0.7216035655197113
3,0.1,-1,500,0.5511700011036206,0.7381033922867126
4,0.1,8,500,0.5609967030986118,0.7395922114200726
5,0.2,8,200,0.6015912993734575,0.7579501107631963
6,0.2,-1,200,0.5935174367483889,0.7580951732847302
7,0.2,4,500,0.6278086991414049,0.7660555250913086
8,0.05,-1,500,0.6609201827045247,0.7735527231266961
9,0.05,8,500,0.669441169293665,0.7772479599586029
10,0.1,-1,200,0.6937329748657037,0.7896983449721895
11,0.1,8,200,0.7013052698717345,0.7923028643938218
12,0.1,4,500,0.723534745390882,0.8029642016558267
13,0.2,3,500,0.7465164018502185,0.8173491590601735
14,0.2,4,200,0.7513015545266842,0.82082500570791
15,0.05,-1,200,0.7786655275897378,0.8316182108462902
16,0.05,8,200,0.7853483818516434,0.836790018067129
17,0.05,4,500,0.8042527880174698,0.8490356221197048
18,0.1,3,500,0.8181525755789261,0.8590018048956078
19,0.1,4,200,0.8288573494207807,0.8665649440260748
20,0.2,3,200,0.8409722102656851,0.875184899647441
21,0.01,-1,500,0.8506544460597523,0.8793429710553456
22,0.01,8,500,0.8563510363195063,0.8843275241045654
23,0.05,3,500,0.882467407958373,0.9049583838136342
24,0.05,4,200,0.8950194388630867,0.9161349538633586
25,0.1,3,200,0.9011184938562024,0.9203217137022592
26,0.01,4,500,0.9540940009351887,0.9667979691653059
27,0.05,3,200,0.9600953251611271,0.9714845492914398
28,0.01,-1,200,0.9663185074242234,0.9790375601791659
29,0.01,8,200,0.9671186311212491,0.9797088865397223
30,0.01,3,500,1.0127969175134213,1.0196792555256435
31,0.01,4,200,1.0415839833643614,1.0469692058716922
32,0.01,3,200,1.0972379715599667,1.100282275120216
