rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,train_rmse,test_rmse
1,0.05,-1,500,0.07517970981810429,0.5672446348483027
2,0.05,8,500,0.11934733542471718,0.5685439160686094
3,0.05,-1,200,0.19574683427187814,0.57134678293497
4,0.1,-1,200,0.09948615107856078,0.5724718292396925
5,0.1,-1,500,0.0267572581627375,0.5727570928173723
6,0.05,8,200,0.24727421651728917,0.5753783159472927
7,0.1,8,200,0.14626524552191342,0.5761982132855489
8,0.1,8,500,0.04920358698578295,0.5771293698832392
9,0.1,4,500,0.16564084936559595,0.58265630351621
10,0.01,-1,500,0.30879315537851615,0.5849312492753715
11,0.05,4,500,0.2671196288329958,0.5856051237950298
12,0.2,-1,200,0.03743814201587984,0.5862609377271123
13,0.2,-1,500,0.012959694507604758,0.5867214074048449
14,0.2,8,200,0.06635169552989761,0.5873896815283888
15,0.2,8,500,0.017733256482115135,0.5880792604912289
16,0.2,4,200,0.1924467634296248,0.5883040659340523
17,0.1,3,500,0.25721437991179197,0.5909196916639751
18,0.01,8,500,0.3376945333175367,0.5914168311042624
19,0.2,4,500,0.07877112440811264,0.5915812602971603
20,0.1,4,200,0.30138365321860633,0.5919732071399256
21,0.2,3,500,0.154363137811016,0.5953619885830863
22,0.2,3,200,0.28821460203163374,0.5990716513195622
23,0.05,3,500,0.35972907005731414,0.6020390682174956
24,0.1,3,200,0.39257462728094894,0.606966169714395
25,0.05,4,200,0.39312045184291555,0.607564422093488
26,0.05,3,200,0.4814993796929434,0.6319466504876677
27,0.01,4,500,0.4813863035039075,0.6350074968560976
28,0.01,-1,200,0.49688237752281106,0.6546340223281698
29,0.01,8,200,0.49871564560586923,0.6546617596032094
30,0.01,3,500,0.5637957729825805,0.6679081492383107
31,0.01,4,200,0.6173876998144024,0.7111172864351382
32,0.01,3,200,0.6909819812567416,0.7523899842088871
