rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,train_rmse,test_rmse
1,0.2,-1,300,0.7,1.0,0.3515157378806354,0.6417065976040793
2,0.2,9,300,1.0,0.7,0.3649901666951863,0.6450602796119701
3,0.2,7,300,0.7,0.7,0.3758345821675481,0.6456551140704266
4,0.2,9,300,1.0,1.0,0.358861748081332,0.6466537100898624
5,0.2,-1,200,0.7,1.0,0.4174232937740448,0.6505961035240811
6,0.2,-1,200,1.0,0.7,0.4245121645704266,0.6529233625121177
7,0.3,9,300,0.7,1.0,0.30252385172555346,0.6532779120219379
8,0.2,7,200,1.0,1.0,0.4334225020555635,0.6546209623823845
9,0.2,7,200,0.7,1.0,0.4334225021310626,0.6547369332201435
10,0.2,9,200,1.0,0.7,0.43044179884055833,0.6550876767662107
11,0.2,9,200,0.7,0.7,0.43044179891286805,0.6551957241261749
12,0.3,9,300,0.7,0.7,0.31030649476954814,0.6553461192760021
13,0.1,9,300,1.0,1.0,0.46456361588931006,0.6554844109952006
14,0.1,9,300,0.7,1.0,0.46456361597543455,0.6555587728446224
15,0.1,-1,300,0.7,0.7,0.4652419369925061,0.6568239441530367
16,0.3,-1,200,1.0,1.0,0.359694922547274,0.6568787301539251
17,0.1,-1,300,1.0,0.7,0.4652419369432851,0.6569071379582836
18,0.3,9,200,1.0,1.0,0.36445034453841013,0.6572739496582468
19,0.1,9,300,1.0,0.7,0.471532016399953,0.6575051182523854
20,0.1,9,300,0.7,0.7,0.47153201641585746,0.6575366050231229
21,0.2,7,200,0.7,0.7,0.44178309395796633,0.6578038981703924
22,0.3,5,300,0.7,1.0,0.3815718436591882,0.6585870578104747
23,0.3,7,200,0.7,0.7,0.3814754369925464,0.660658557914495
24,0.3,7,200,1.0,1.0,0.37522989184746797,0.6617197564996019
25,0.1,7,300,0.7,0.7,0.48214661657857033,0.6619572248089408
26,0.1,7,300,1.0,0.7,0.48214661662958214,0.6619608027609871
27,0.3,5,300,1.0,0.7,0.3893466843682181,0.6638128533839321
28,0.1,-1,200,0.7,1.0,0.523207221563049,0.6746890370170798
29,0.1,-1,200,1.0,1.0,0.5232072216929033,0.6747206993826308
30,0.2,5,200,0.7,0.7,0.5070660002971143,0.6768760643724882
31,0.1,7,200,1.0,1.0,0.5384169795478916,0.6781432773135934
32,0.1,7,200,1.0,0.7,0.5439734392745763,0.6827366120091202
33,0.1,7,200,0.7,0.7,0.5439734389204862,0.682800044560649
34,0.1,5,300,0.7,0.7,0.547917682247653,0.6835648144926453
35,0.05,-1,300,0.7,1.0,0.5633674597468316,0.6867257020908789
36,0.05,-1,300,1.0,1.0,0.5633674599300633,0.6867514118169928
37,0.05,9,300,0.7,1.0,0.5689182972719585,0.6889336554929393
38,0.05,9,300,1.0,0.7,0.5725585328451683,0.690022180125977
39,0.05,7,300,0.7,0.7,0.584330927988198,0.6951518669134887
40,0.05,7,300,1.0,0.7,0.5843309280137788,0.695155600181508
41,0.1,5,200,0.7,1.0,0.601993988141726,0.7074299222625152
42,0.05,-1,200,1.0,1.0,0.6182669882874805,0.7105313248937535
43,0.05,-1,200,0.7,1.0,0.6182669881024039,0.710556257243773
44,0.05,-1,200,0.7,0.7,0.6216507428567242,0.7119913733556346
45,0.05,9,200,1.0,1.0,0.6225911046702931,0.7132433146436123
46,0.05,9,200,0.7,0.7,0.625953535691223,0.7140288643351678
47,0.05,7,200,1.0,0.7,0.6369462667549987,0.7200185753909071
48,0.05,5,300,0.7,1.0,0.6418981058882706,0.7269609849087323
49,0.05,5,200,0.7,0.7,0.689884404013581,0.7535488122285178
50,0.05,5,200,1.0,1.0,0.6899935759070625,0.7546611359856874
