rank_test_score,param_lgbm__learning_rate,param_lgbm__max_depth,param_lgbm__n_estimators,param_lgbm__subsample,param_lgbm__colsample_bytree,param_lgbm__reg_alpha,param_lgbm__reg_lambda,train_rmse,test_rmse
1,0.1,-1,300,1.0,0.7,0.0,0.0,0.10469621134971262,0.44584174332757515
1,0.1,-1,300,0.7,0.7,0.0,0.0,0.10469621134971262,0.44584174332757515
3,0.1,-1,300,1.0,0.7,0.0,0.3,0.10540834146313914,0.44754373316773755
3,0.1,-1,300,0.7,0.7,0.0,0.3,0.10540834146313914,0.44754373316773755
5,0.1,7,300,0.7,0.7,0.3,0.3,0.1295152430014922,0.44762109858098253
5,0.1,7,300,1.0,0.7,0.3,0.3,0.1295152430014922,0.44762109858098253
7,0.1,-1,200,0.7,0.7,0.0,0.0,0.1328958369167015,0.44803871596750544
7,0.1,-1,200,1.0,0.7,0.0,0.0,0.1328958369167015,0.44803871596750544
9,0.1,-1,300,0.7,0.7,0.1,0.1,0.1051908187004608,0.44805950287379326
9,0.1,-1,300,1.0,0.7,0.1,0.1,0.1051908187004608,0.44805950287379326
11,0.1,-1,300,1.0,1.0,0.3,0.1,0.10496904372572698,0.44808802558301064
11,0.1,-1,300,0.7,1.0,0.3,0.1,0.10496904372572698,0.44808802558301064
13,0.1,7,300,0.7,0.7,0.3,0.1,0.12868476886583874,0.44839380189540234
13,0.1,7,300,1.0,0.7,0.3,0.1,0.12868476886583874,0.44839380189540234
15,0.1,9,300,0.7,1.0,0.3,0.1,0.11184108886034683,0.4485812319212273
15,0.1,9,300,1.0,1.0,0.3,0.1,0.11184108886034683,0.4485812319212273
17,0.1,9,300,1.0,0.7,0.3,0.3,0.11500916277555863,0.4492293152386454
17,0.1,9,300,0.7,0.7,0.3,0.3,0.11500916277555863,0.4492293152386454
19,0.1,-1,300,1.0,0.7,0.3,0.1,0.10783862605977323,0.4492412436005554
19,0.1,-1,300,0.7,0.7,0.3,0.1,0.10783862605977323,0.4492412436005554
21,0.1,-1,300,1.0,0.7,0.1,0.3,0.10536167314662526,0.4492628701203652
21,0.1,-1,300,0.7,0.7,0.1,0.3,0.10536167314662526,0.4492628701203652
23,0.1,9,300,0.7,1.0,0.1,0.1,0.11417760505495574,0.44949901286693195
23,0.1,9,300,1.0,1.0,0.1,0.1,0.11417760505495574,0.44949901286693195
25,0.1,7,300,0.7,0.7,0.0,0.3,0.13830480380210844,0.44950875336504525
25,0.1,7,300,1.0,0.7,0.0,0.3,0.13830480380210844,0.44950875336504525
27,0.1,9,300,1.0,0.7,0.3,0.0,0.11434986269368634,0.4498162514892534
27,0.1,9,300,0.7,0.7,0.3,0.0,0.11434986269368634,0.4498162514892534
29,0.1,-1,200,0.7,0.7,0.0,0.3,0.13388160242837716,0.45018256539591056
29,0.1,-1,200,1.0,0.7,0.0,0.3,0.13388160242837716,0.45018256539591056
31,0.1,-1,200,0.7,1.0,0.3,0.1,0.1317816165150846,0.45022618994690683
31,0.1,-1,200,1.0,1.0,0.3,0.1,0.1317816165150846,0.45022618994690683
33,0.1,7,300,1.0,0.7,0.0,0.0,0.13719360967014016,0.4504269089235506
33,0.1,7,300,0.7,0.7,0.0,0.0,0.13719360967014016,0.4504269089235506
35,0.1,-1,300,0.7,1.0,0.0,0.3,0.10325245671106668,0.4506404716455624
35,0.1,-1,300,1.0,1.0,0.0,0.3,0.10325245671106668,0.4506404716455624
37,0.1,-1,200,0.7,0.7,0.1,0.1,0.13345110592853932,0.45068836671614265
37,0.1,-1,200,1.0,0.7,0.1,0.1,0.13345110592853932,0.45068836671614265
39,0.05,-1,300,0.7,0.7,0.3,0.1,0.16191635493539938,0.4508495263853976
39,0.05,-1,300,1.0,0.7,0.3,0.1,0.16191635493539938,0.4508495263853976
41,0.1,9,300,0.7,1.0,0.0,0.1,0.11745109018070995,0.4509665707845741
41,0.1,9,300,1.0,1.0,0.0,0.1,0.11745109018070995,0.4509665707845741
43,0.1,-1,300,1.0,0.7,0.1,0.0,0.10552307403280663,0.4512528646508392
43,0.1,-1,300,0.7,0.7,0.1,0.0,0.10552307403280663,0.4512528646508392
45,0.1,9,300,1.0,0.7,0.0,0.0,0.12116255903021353,0.4513835914171943
45,0.1,9,300,0.7,0.7,0.0,0.0,0.12116255903021353,0.4513835914171943
47,0.1,9,300,1.0,0.7,0.3,0.1,0.11389047502303945,0.45141203820346715
47,0.1,9,300,0.7,0.7,0.3,0.1,0.11389047502303945,0.45141203820346715
49,0.1,-1,200,1.0,0.7,0.1,0.3,0.13344934681626,0.45149858410571025
49,0.1,-1,200,0.7,0.7,0.1,0.3,0.13344934681626,0.45149858410571025
51,0.05,-1,300,1.0,0.7,0.1,0.0,0.16013388706445458,0.4516774966805895
51,0.05,-1,300,0.7,0.7,0.1,0.0,0.16013388706445458,0.4516774966805895
53,0.1,7,200,1.0,0.7,0.3,0.3,0.16774668563913647,0.45167828359866646
53,0.1,7,200,0.7,0.7,0.3,0.3,0.16774668563913647,0.45167828359866646
55,0.1,7,300,1.0,0.7,0.3,0.0,0.12927573418427013,0.45183307228533715
55,0.1,7,300,0.7,0.7,0.3,0.0,0.12927573418427013,0.45183307228533715
