rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,train_rmse,test_rmse
1,500,,2,1,0.5,0.21904773657223278,0.596432587312954
2,500,,2,1,log2,0.22030856202543242,0.5995883728240079
3,500,,4,1,0.5,0.23934072354325736,0.5997336576632473
4,300,,2,1,log2,0.22081352331166226,0.6010508831175875
5,500,,2,2,0.5,0.2626647374992235,0.602238260490205
6,500,,6,1,0.5,0.2663185822571655,0.6022641751075787
7,300,,4,2,0.25,0.2726882406811682,0.6030503058819657
8,500,,2,2,0.25,0.2722688935367254,0.6036551482777816
9,500,,4,2,sqrt,0.2967963581134616,0.6061897751567096
10,300,,6,2,0.5,0.2879534290405054,0.6070430091816692
11,300,,2,2,sqrt,0.29699445871918584,0.6070760386021233
12,500,,6,1,sqrt,0.29367653380562386,0.6075696156475522
13,500,10,4,1,0.5,0.32045548985221894,0.612304198252685
14,300,,6,2,sqrt,0.3291060645346313,0.6131510258785972
15,500,,4,2,log2,0.3197798257291198,0.61465512886693
16,300,,4,4,0.5,0.35415802959589776,0.6152080079153665
16,300,,2,4,0.5,0.35415802959589776,0.6152080079153665
18,300,,2,2,log2,0.32002033239004907,0.6159867038626562
19,300,10,6,2,0.5,0.3473507951030831,0.6161599759144828
20,300,10,6,1,0.25,0.3507458888623452,0.6179020743647256
21,500,,4,4,0.25,0.37310257857143925,0.619805970954805
22,300,,2,4,0.25,0.3734712310476553,0.620396415703043
23,300,10,6,2,0.25,0.36263791906375653,0.620791475550517
24,300,10,4,1,sqrt,0.35970062657967294,0.6225801437931314
25,500,10,4,1,sqrt,0.3606090880078067,0.6237035589987924
26,500,10,4,4,0.5,0.3881549860054656,0.6250693020055792
27,500,10,2,4,0.5,0.3881549860054656,0.6250693020055793
28,300,10,6,4,0.5,0.38849780813274176,0.6266587292959531
29,500,10,4,4,0.25,0.4071886247011509,0.6277875633267287
29,500,10,2,4,0.25,0.4071886247011509,0.6277875633267287
31,300,,4,6,0.5,0.4192114519714665,0.6280563839741956
32,300,,2,6,0.5,0.41921145197146653,0.6280563839741957
33,500,,4,6,0.5,0.4192129020447313,0.6281739576203619
34,300,10,4,4,0.25,0.4071205569560537,0.6287115816593419
35,300,10,6,4,0.25,0.4071205569560537,0.6287115816593419
36,300,10,2,1,log2,0.3653656489780322,0.6290119864663735
37,500,,4,4,sqrt,0.4121303439961634,0.629996374526613
38,300,,6,4,sqrt,0.4121956057601367,0.6301625742826544
39,300,10,6,2,sqrt,0.3957738454828006,0.632187058406683
40,500,,2,6,0.25,0.4401295627359671,0.6344957418009342
41,300,,4,6,0.25,0.43966459352118814,0.6348012180363093
42,300,,2,6,0.25,0.4396645935211882,0.6348012180363094
43,500,10,4,6,0.5,0.4362476819800572,0.6355182253494291
44,300,10,6,6,0.5,0.43630660319805803,0.6356665202235268
45,300,10,4,2,log2,0.4051614014541568,0.636694941230843
45,300,10,2,2,log2,0.4051614014541568,0.636694941230843
47,500,10,2,2,log2,0.4050500685888228,0.6367106171478165
48,300,10,4,6,0.25,0.4570713091537228,0.6401306100032772
49,500,,2,4,log2,0.44226524830310027,0.6417723203377538
50,300,,4,4,log2,0.44210657733666836,0.6421142091635557
51,500,10,4,4,sqrt,0.44751664277063163,0.6428707143730846
51,500,10,6,4,sqrt,0.44751664277063163,0.6428707143730846
53,300,10,4,4,sqrt,0.44765856274381427,0.6434319354708036
53,300,10,2,4,sqrt,0.44765856274381427,0.6434319354708036
55,500,,2,6,sqrt,0.4801450448691357,0.6494656932452356
56,300,,2,6,sqrt,0.48059697291151093,0.6499412735072421
