rank_test_score,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,train_rmse,test_rmse
1,200,,2,1,0.5,0.3157654460995003,0.7230678046013622
2,200,,6,1,0.5,0.35940706242097914,0.7236671945477565
3,200,,6,1,0.25,0.3671314964848553,0.7239329192660129
4,100,,2,1,0.25,0.31806136141238145,0.7246371316041541
5,100,,6,1,0.5,0.3615912063076251,0.725551029107699
6,100,,2,2,0.25,0.37784200178107036,0.7260595340287307
7,200,,6,2,0.5,0.3884392725583703,0.7261427499569199
8,200,,6,2,0.25,0.40128699970290904,0.7267705858981341
9,100,,2,2,0.5,0.36808051483567006,0.7272199227238041
10,200,,10,1,0.5,0.4081973600695842,0.72908940973252
11,200,,6,1,sqrt,0.389926401800427,0.7325422046533676
12,200,,2,2,sqrt,0.4029796063017441,0.7342437287276932
13,100,,10,2,0.25,0.4523088688499767,0.7347461352677217
14,200,,6,4,0.5,0.4573868530083842,0.735602793456939
15,100,,2,2,sqrt,0.4049007107632938,0.7363228501100294
16,200,,2,1,log2,0.31996194952655077,0.7365375333200157
17,100,,2,4,0.5,0.45912772256055356,0.7371256315151578
18,200,,6,2,sqrt,0.4324440898711213,0.7377214160847831
19,100,,2,1,log2,0.3227188344559088,0.7381071428311916
20,200,,10,1,sqrt,0.4550166228355719,0.7419583038006512
21,200,,2,2,log2,0.4306261017814721,0.7460055340283912
22,100,,2,2,log2,0.43261824591853415,0.7481504828280661
23,100,,10,2,sqrt,0.4899603028283954,0.7499163799251743
24,100,,10,1,log2,0.4849172425802824,0.755538669904662
25,200,,6,4,sqrt,0.5211040892213301,0.756147815811899
26,200,,10,4,sqrt,0.5375175511625849,0.7593857521283824
27,100,,10,4,sqrt,0.5390697442749398,0.7616927692313771
28,200,,2,1,1,0.3287256669987918,0.7647177824429703
29,100,,2,1,1,0.3317593399930326,0.767404493320661
31,200,,2,4,log2,0.558710638523824,0.7734676263021261
30,200,,6,4,log2,0.558710638523824,0.7734676263021261
32,100,,2,4,log2,0.5605354625903334,0.7748911064640482
33,200,,6,1,1,0.49280002377232296,0.784375142414731
34,200,,10,1,1,0.5869228132626014,0.8086500672409977
35,100,,10,1,1,0.5883278958698434,0.8099498715231951
36,200,,2,2,1,0.6168250818060362,0.8297627956890601
37,100,,2,2,1,0.6204966668248704,0.8321437942218817
38,200,,6,2,1,0.6448993786694196,0.836654113100241
39,100,,10,2,1,0.6958318933172322,0.854616418678073
40,200,10,6,2,0.5,0.8140507123958435,0.879164280489115
41,200,10,2,1,0.5,0.8125202311151631,0.8797863110495739
42,200,10,10,2,0.5,0.8163854775640212,0.8800049081981925
44,200,10,2,4,0.5,0.8181376991562082,0.880353385999891
43,200,10,6,4,0.5,0.8181376991562083,0.880353385999891
45,100,10,2,1,0.5,0.8137206721337801,0.8807026418758152
46,100,10,10,2,0.5,0.8176328662707273,0.8812594180735097
47,100,10,2,4,0.5,0.819156697133367,0.88128771422739
48,100,10,6,2,0.25,0.8266341502392321,0.8857584850657694
49,100,10,2,2,0.25,0.8258446374104806,0.886299812519525
50,100,10,10,2,0.25,0.8292859915951473,0.8865553368831687
51,100,10,2,4,0.25,0.830344418036775,0.8867942733994768
52,200,10,10,4,0.25,0.8306466973274228,0.887035535862565
53,100,,2,4,1,0.803857183488271,0.9099243040834276
54,200,10,10,2,sqrt,0.8620058972918192,0.9118804113975901
55,100,10,6,1,sqrt,0.8594832451729089,0.9119170886226919
56,100,10,6,2,sqrt,0.8604188102103707,0.9119196428908956
57,200,10,2,4,sqrt,0.8630638508451793,0.9123733503918515
57,200,10,6,4,sqrt,0.8630638508451794,0.9123733503918515
59,100,10,10,4,sqrt,0.8655454555518024,0.9133599167010721
60,100,10,6,4,sqrt,0.8644341565810495,0.9134330350903002
61,200,10,2,1,log2,0.884812855128413,0.9342369460780164
62,200,10,2,2,log2,0.8880070939157257,0.9352533842190294
63,200,10,6,2,log2,0.8894632492406837,0.935728357668338
64,200,10,2,4,log2,0.8932777116550467,0.9373270408733342
65,100,10,2,4,log2,0.8943140872933969,0.9380451804391283
65,100,10,6,4,log2,0.8943140872933969,0.9380451804391283
67,200,10,10,4,log2,0.8953919565746844,0.9385050030367218
68,200,7,10,1,0.5,0.9675207401969441,0.9857195115998254
69,100,7,6,2,0.5,0.9679899104934556,0.985813183712787
70,200,7,6,1,0.5,0.9676331998566399,0.9859555487376129
71,100,7,10,1,0.5,0.9688410038087709,0.986586732429788
72,100,7,2,2,0.5,0.9691756832778853,0.9870059100888559
73,100,7,6,4,0.5,0.9692220346777382,0.9871794523945364
74,100,7,10,4,0.5,0.9701630160316043,0.9873628454935344
75,100,7,6,1,0.25,0.9724727237772923,0.9885852626164204
76,200,7,2,4,0.25,0.9725893679611406,0.9886324365990511
76,200,7,6,4,0.25,0.9725893679611406,0.9886324365990511
78,200,7,10,2,0.25,0.9722174159858107,0.9887361859036167
79,100,7,2,2,0.25,0.9722100840857357,0.9887524352917243
80,100,7,10,1,0.25,0.9723809117372808,0.9889605991480849
81,200,7,6,2,0.25,0.9727021798188978,0.9890901731019284
82,100,7,10,4,0.25,0.9727877970292006,0.9892940135806597
83,100,7,6,2,0.25,0.9731868393475945,0.9894160713996445
84,200,7,2,4,sqrt,0.9986491816893456,1.0127263860235876
84,200,7,6,4,sqrt,0.9986491816893456,1.0127263860235876
86,200,7,10,1,sqrt,0.9988328152742305,1.0130843509045733
87,200,7,10,4,sqrt,0.999244732251873,1.0131599122232346
88,200,7,6,1,sqrt,0.9988860330589384,1.0132665469052036
90,100,7,2,4,sqrt,0.9998054980850779,1.0139501230133439
89,100,7,6,4,sqrt,0.9998054980850779,1.0139501230133439
91,100,7,2,1,sqrt,0.9993978296523172,1.0142309952801007
92,100,7,6,1,sqrt,1.000056058026446,1.0144673260663986
93,200,7,10,1,log2,1.022289685254559,1.0354331329519335
94,200,7,2,1,log2,1.0225139420719116,1.0357481671142257
95,200,7,10,2,log2,1.0226375153983984,1.0358033202717642
96,200,7,2,4,log2,1.023685081727292,1.036820667459981
97,100,7,10,2,log2,1.024116375122956,1.0370027836918148
98,100,7,2,1,log2,1.0240739620526644,1.0371881839314507
99,100,7,2,4,log2,1.0254703004400434,1.0386763815698796
100,200,5,10,2,0.5,1.0609301895697472,1.0669912108564048
101,200,5,6,2,0.5,1.060998951094263,1.0670413859096843
102,200,5,6,1,0.5,1.0610194826602581,1.0670605667692132
103,200,5,2,4,0.5,1.061056481294798,1.0670607463061241
104,200,5,2,1,0.5,1.0611169154143205,1.0671493518793496
105,100,10,2,1,1,1.0428823683406254,1.0673636045935626
106,200,5,10,4,0.25,1.0620450302032571,1.0676792886245559
107,200,5,10,2,0.25,1.0620478809204972,1.0676860338921987
108,100,5,6,2,0.5,1.0616657093758035,1.067712906749937
109,200,5,2,4,0.25,1.062064593669822,1.0677328882450186
110,100,5,10,1,0.5,1.0616776990162111,1.0677555113306634
111,100,5,6,4,0.5,1.061817907072554,1.0678289657157716
112,100,5,6,4,0.25,1.0625506988752695,1.0683505572905476
113,100,5,2,2,0.25,1.0627632590742537,1.0685145637563087
114,100,5,2,1,0.25,1.0628904672734387,1.0686449888776541
115,100,10,6,1,1,1.0472315089791904,1.071024651727536
116,200,10,10,1,1,1.0498140582251305,1.0719157691716803
117,200,10,6,2,1,1.0513297712276435,1.0735416949834062
118,100,10,10,4,1,1.0648667674533259,1.0844475948891343
119,200,10,2,4,1,1.0662767729409022,1.085232626483932
120,100,10,6,4,1,1.0682750978698778,1.0871156950983467
120,100,10,2,4,1,1.0682750978698778,1.0871156950983467
122,100,5,10,1,sqrt,1.08288358828577,1.0877353969976016
123,100,5,6,4,sqrt,1.0832263562294544,1.087992694812633
124,200,5,10,2,sqrt,1.0831050529402781,1.0880440799619524
125,200,5,2,4,sqrt,1.083267330859895,1.0881165059177313
126,200,5,6,1,sqrt,1.0834286825546027,1.0882603135280082
127,100,5,6,1,sqrt,1.0835974653784697,1.0883366064401945
128,100,5,2,2,sqrt,1.083838833562188,1.0885903619554531
129,100,5,2,1,sqrt,1.0839232297965151,1.0886821512879226
130,200,5,2,1,log2,1.1051230346149117,1.1096598352244795
131,200,5,6,1,log2,1.1051614333771902,1.1097061143077895
132,200,5,10,1,log2,1.1053059163170673,1.1098193331704764
133,200,5,10,2,log2,1.1053248532042956,1.109844237891018
134,100,5,10,2,log2,1.1072283782618348,1.1116864384013765
135,100,5,10,4,log2,1.1073331392123387,1.1117823463571321
136,100,5,6,1,log2,1.1076456687941962,1.1122013732330363
137,100,5,2,1,log2,1.1077245264350486,1.1122433993868528
138,100,5,6,2,log2,1.1077575228499625,1.1123270642829692
139,100,5,2,2,log2,1.1081889430421403,1.1127222082200536
140,100,7,6,1,1,1.1577381099592403,1.1647193378385439
141,200,7,6,2,1,1.1580389501543555,1.165209350481558
142,100,7,2,2,1,1.1608589876718152,1.1681518196135845
143,200,7,2,4,1,1.1629437637859235,1.1696667561508287
143,200,7,6,4,1,1.1629437637859235,1.1696667561508287
145,200,5,10,1,1,1.2316774994870263,1.2343604811638849
146,200,5,10,2,1,1.2317830356863462,1.2344643356542333
147,200,5,6,1,1,1.231997634906055,1.234672302507113
148,200,5,2,1,1,1.2333458096588943,1.2361779810755493
149,200,5,2,4,1,1.2342366528952233,1.2368326714929634
149,200,5,6,4,1,1.2342366528952233,1.2368326714929634
