rank_test_score,param_rf__n_estimators,param_rf__max_depth,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,train_rmse,test_rmse
1,300,,2,1,0.5,0.18745972538407055,0.4759043906350472
2,500,,2,1,0.25,0.1868366636091616,0.47624439526838613
3,300,,2,1,0.25,0.18728259032732208,0.476284287498799
4,500,,2,1,0.5,0.1870428679073496,0.4765155745834273
5,500,,4,1,0.5,0.20007836336833482,0.4788171039506695
6,300,,4,1,0.5,0.2002873016386052,0.479152831053881
7,500,,4,1,0.25,0.2021184393913083,0.4794274145524241
8,500,,2,1,sqrt,0.188646527586281,0.47959509136303974
9,300,,2,1,sqrt,0.18899219465439035,0.4798527540771841
10,500,,6,1,0.5,0.21767854772023837,0.4801241834490348
11,300,,4,1,0.25,0.20253930305376577,0.48029686567861046
12,300,,6,1,0.5,0.21805949418594914,0.48032799942462784
13,300,,2,2,0.5,0.22184691110495797,0.48343837134726025
14,300,,4,2,0.5,0.22184691110495797,0.4834383713472603
15,500,,4,1,sqrt,0.21072353425924895,0.4836376111262322
16,500,,4,2,0.5,0.22158119687772054,0.48366809383958664
16,500,,2,2,0.5,0.22158119687772052,0.48366809383958664
18,300,,4,1,sqrt,0.2112884908558349,0.4837250143271478
19,500,,2,1,log2,0.18877301191308224,0.4841314868667238
20,500,,6,1,0.25,0.2227404970585118,0.4843728312929555
21,300,,2,1,log2,0.18925545918288175,0.4846006200464737
22,300,,6,1,0.25,0.22312705919253487,0.48469123769978767
23,300,,2,2,0.25,0.22841899227908757,0.4849097691356398
23,300,,4,2,0.25,0.2284189922790876,0.4849097691356398
25,500,,2,2,0.25,0.2281255303738029,0.4849668909493147
26,500,,4,2,0.25,0.22812553037380293,0.4849668909493148
27,500,,6,2,0.5,0.23688403133680574,0.4855534865468674
28,300,,6,2,0.5,0.23708358624515308,0.4857702410049918
29,500,,4,1,log2,0.21731318187085058,0.4871302725048794
30,300,,6,2,0.25,0.24603226189825284,0.4875108869186805
31,500,,6,2,0.25,0.2455557645444557,0.4878906167663683
32,500,,6,1,sqrt,0.2375398942422684,0.4880310067599823
33,300,,4,1,log2,0.2178493533217011,0.4885954087906972
34,300,,6,1,sqrt,0.23758408469834466,0.48888640199042493
35,300,,4,2,sqrt,0.2482379224746216,0.4892171974753257
35,300,,2,2,sqrt,0.2482379224746216,0.4892171974753257
37,500,,4,3,0.5,0.2575075835451878,0.49037803876571606
37,500,,6,3,0.5,0.2575075835451878,0.49037803876571606
37,500,,2,3,0.5,0.2575075835451878,0.49037803876571606
40,500,,2,2,sqrt,0.24805987261423088,0.4904934377226965
40,500,,4,2,sqrt,0.2480598726142309,0.4904934377226965
42,300,,4,3,0.5,0.2583571927062541,0.4911033935739566
44,300,,6,3,0.5,0.2583571927062541,0.49110339357395666
43,300,,2,3,0.5,0.25835719270625407,0.49110339357395666
45,500,,2,3,0.25,0.2689133890285248,0.49427266866095926
46,500,,4,3,0.25,0.2689133890285248,0.4942726686609593
46,500,,6,3,0.25,0.2689133890285248,0.4942726686609593
48,500,,6,1,log2,0.24812261878514763,0.4943827428617979
49,300,,4,3,0.25,0.2690923845060265,0.49462646662427373
49,300,,2,3,0.25,0.26909238450602657,0.49462646662427373
49,300,,6,3,0.25,0.2690923845060265,0.49462646662427373
52,300,,6,1,log2,0.248383926600936,0.4952881408224425
53,500,,2,1,1,0.19386339642782952,0.49593067901637394
54,500,,6,2,sqrt,0.26830603895605853,0.495952322356421
55,300,,6,2,sqrt,0.2682978790929586,0.4960152647239439
56,300,,2,1,1,0.19443177072936263,0.49687180933104996
57,500,,4,2,log2,0.2619387976588401,0.49723751318187515
57,500,,2,2,log2,0.2619387976588401,0.49723751318187515
59,300,10,2,1,0.5,0.27325182655675806,0.4976411197236301
60,500,10,2,1,0.5,0.2734611953183892,0.49802057973892533
61,300,,4,2,log2,0.2621416262635637,0.49835635373088494
61,300,,2,2,log2,0.2621416262635637,0.49835635373088494
63,500,10,4,1,0.5,0.27922390300794503,0.4994334150673032
64,300,10,4,1,0.5,0.2795068258048542,0.49954419288902446
65,500,,4,4,0.5,0.2898734836422811,0.5004894572753534
66,500,,2,4,0.5,0.2898734836422811,0.5004894572753534
66,500,,6,4,0.5,0.2898734836422811,0.5004894572753534
68,300,,2,4,0.5,0.290427367915891,0.5007038411315624
68,300,,6,4,0.5,0.290427367915891,0.5007038411315624
70,300,,4,4,0.5,0.290427367915891,0.5007038411315625
71,300,10,2,1,0.25,0.28439792584927875,0.5014668452477797
72,500,10,2,1,0.25,0.28442275141713125,0.5019235799725568
73,300,10,4,2,0.5,0.2897076093577176,0.5020728097955319
73,300,10,2,2,0.5,0.2897076093577176,0.5020728097955319
75,500,10,4,2,0.5,0.28923926535439076,0.5024331682794165
75,500,10,2,2,0.5,0.2892392653543907,0.5024331682794165
77,500,,6,2,log2,0.28454191156252223,0.502727174044659
78,500,,6,4,0.25,0.3033708224502783,0.5027687418663994
80,500,,2,4,0.25,0.3033708224502783,0.5027687418663994
78,500,,4,4,0.25,0.3033708224502783,0.5027687418663994
81,300,10,6,2,0.5,0.29902432717796223,0.5028071722794774
82,300,10,6,1,0.5,0.28909903200203274,0.502812461697715
83,500,10,6,1,0.5,0.2891342001957011,0.5029026942939495
84,300,10,4,1,0.25,0.2909612497949143,0.5030118987216131
86,300,,4,4,0.25,0.3037709329769894,0.5031079427711274
85,300,,6,4,0.25,0.3037709329769894,0.5031079427711274
86,300,,2,4,0.25,0.3037709329769895,0.5031079427711274
88,500,10,6,2,0.5,0.2988525437172328,0.5031955966027516
89,300,,6,2,log2,0.2846744947972858,0.5032367064757046
90,500,10,4,1,0.25,0.29061336846064056,0.5038155132850488
91,500,,4,3,sqrt,0.298736723598521,0.5052678719171674
92,500,,6,3,sqrt,0.298736723598521,0.5052678719171675
92,500,,2,3,sqrt,0.298736723598521,0.5052678719171675
94,300,,4,3,sqrt,0.2987284005168626,0.50563713521534
95,300,,6,3,sqrt,0.2987284005168626,0.5056371352153401
95,300,,2,3,sqrt,0.2987284005168626,0.5056371352153401
97,300,10,6,1,0.25,0.30155417489860686,0.5058078571989862
98,500,10,6,1,0.25,0.3011531140227041,0.5061104029313114
99,300,10,4,2,0.25,0.3021665826220519,0.5064205682203421
99,300,10,2,2,0.25,0.3021665826220519,0.5064205682203421
101,500,10,6,3,0.5,0.3091671955438982,0.5069456282386461
101,500,10,2,3,0.5,0.30916719554389815,0.5069456282386461
103,500,10,4,3,0.5,0.30916719554389815,0.5069456282386462
104,500,10,2,2,0.25,0.30250191647869584,0.5071975977089354
104,500,10,4,2,0.25,0.30250191647869584,0.5071975977089354
106,300,10,2,3,0.5,0.3094149682486364,0.5074723922569749
106,300,10,6,3,0.5,0.3094149682486364,0.5074723922569749
108,300,10,4,3,0.5,0.3094149682486364,0.507472392256975
109,500,10,6,2,0.25,0.3118966274916963,0.5084141608275641
110,300,10,6,2,0.25,0.31227561145729227,0.508499929460685
111,500,,4,1,1,0.2655658461741053,0.5102594344318252
112,300,,4,1,1,0.2660464222644774,0.5108255078771314
113,300,10,2,1,sqrt,0.3090834317702483,0.5113191229840923
114,500,10,2,1,sqrt,0.30862021891584657,0.5116230090792151
