rank_test_score,param_ridge__alpha,train_rmse,test_rmse
1,0.05,1.0022043780802692,1.0084496975495383
2,0.1,1.0022555279708651,1.008479133930979
3,0.15000000000000002,1.0023245450786635,1.008528960703489
4,0.2,1.0024037918737927,1.008591024449622
5,0.25,1.002488462403446,1.0086601381122653
6,0.30000000000000004,1.002575505510536,1.0087329629064843
7,0.35000000000000003,1.002662980049721,1.0088073364999022
8,0.4,1.0027496586877014,1.008881858624926
9,0.45,1.0028347790132461,1.0089556296537552
10,0.5,1.002917884206954,1.0090280824419837
11,0.55,1.0029987193947267,1.0090988723474836
12,0.6000000000000001,1.003077163310116,1.0091678042676813
13,0.65,1.003153182735994,1.0092347836514852
14,0.7000000000000001,1.0032268018662351,1.0092997832816042
15,0.75,1.0032980815697996,1.0093628205736922
16,0.8,1.0033671053026945,1.009423941973764
17,0.8500000000000001,1.003433969526656,1.0094832121967665
18,0.9,1.0034987772081783,1.0095407067968798
19,0.9500000000000001,1.0035616334366546,1.0095965070479718
20,1.0,1.0036226425075994,1.0096506964358305
21,0.0,1.0098583904729093,1774518253506.4275
