rank_test_score,param_ridge__alpha,train_rmse,test_rmse
1,1.0,0.6288385628905877,48365.4425805633
2,0.9500000000000001,0.6287956439970717,48507.084958015635
3,0.9,0.6287520314916012,48650.48540129004
4,0.8500000000000001,0.6287076997730763,48795.68665016666
5,0.8,0.6286626228243194,48942.732219193465
6,0.75,0.6286167745396655,49091.6660955983
7,0.7000000000000001,0.6285701292020167,49242.53228251627
8,0.65,0.6285226621610025,49395.374109543634
9,0.6000000000000001,0.6284743507742564,49550.233189237646
10,0.55,0.6284251756758235,49707.14781385591
11,0.5,0.628375122409768,49866.150443356135
12,0.45,0.6283241833632098,50027.26365510886
13,0.4,0.6282723596241698,50190.4933730671
14,0.35000000000000003,0.6282196615491006,50355.81700485387
15,0.30000000000000004,0.6281661045883763,50523.16141856456
16,0.25,0.628111690916022,50692.35892516211
17,0.2,0.6280563509194292,50863.05057838389
18,0.15000000000000002,0.6279997726648927,51034.4452258158
19,0.1,0.6279409333224314,51204.60222505059
20,0.05,0.6278772662833737,51367.61241768187
21,0.0,0.6614354858244686,6.892939183408545e+17
