rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,train_rmse,test_rmse
1,0.1,10,500,0.2184894393456406,0.7112838120070317
2,0.1,7,500,0.39144162741799976,0.7117201337167969
3,0.1,10,200,0.3100559533060763,0.7123997302036523
4,0.2,7,500,0.27470429827147846,0.7143936448968865
5,0.2,10,200,0.23193729505406904,0.7208494811072408
6,0.2,10,500,0.20194718705690454,0.7258911621817935
7,0.2,7,200,0.4341767624122752,0.728735935017124
8,0.2,5,500,0.48714924068676346,0.7329177338958501
9,0.01,10,500,0.5262765211215308,0.7494096850212315
10,0.1,7,200,0.5657481040025125,0.750625512241125
11,0.5,5,500,0.34353594556198724,0.7585454487092268
12,0.1,5,500,0.6099188300223316,0.7599568083771759
13,0.5,7,200,0.2907969582314279,0.7635579708949121
14,0.2,4,500,0.6185844639312054,0.7652914731749431
15,0.5,4,500,0.4843462011526427,0.7661511746131295
16,0.5,7,500,0.20844254321086667,0.7684621504187481
17,0.5,5,200,0.513278896183889,0.7738815484623317
18,0.5,10,200,0.20202830263950827,0.7763500206855769
19,0.5,10,500,0.20098927660356508,0.7774229971207948
20,0.2,5,200,0.6464164669468293,0.7776483425110655
21,0.5,3,500,0.6449226095536057,0.794023621087445
22,0.5,4,200,0.639643374776131,0.7942025589739692
23,0.1,4,500,0.7182197357779844,0.8019870431097003
24,0.2,3,500,0.7443310720975803,0.8168040105853066
25,0.1,5,200,0.7455412035984498,0.8185520434614524
26,0.2,4,200,0.7464994976688942,0.8188355129078111
27,0.01,7,500,0.7594452973737861,0.8328577049273348
28,0.5,3,200,0.7603856819589131,0.8360369165321232
29,0.01,10,200,0.727117120260658,0.8408709184398151
30,0.1,3,500,0.8171093900377079,0.858971630728635
31,0.1,4,200,0.8235146906420829,0.8632180644299857
32,0.2,3,200,0.8380942780737691,0.87373857091517
33,0.01,5,500,0.8931885158310593,0.9176439482070015
34,0.1,3,200,0.9017474499237734,0.921987671286997
35,0.01,7,200,0.8938495827264047,0.9286584366594707
36,0.01,4,500,0.9534689604273724,0.9660112340693069
37,0.01,5,200,0.9921028216501745,1.0028916437813669
38,0.01,3,500,1.0128823479679576,1.019914222276649
39,0.01,4,200,1.0418197281111288,1.0471816643617917
40,0.01,3,200,1.0974099424287682,1.1006797033479658
