rank_test_score,param_learning_rate,param_max_depth,param_n_estimators,param_colsample_bytree,param_subsample,train_rmse,test_rmse
1,0.1,10,500,1.0,0.7,0.012352545275447477,0.5737661384261112
2,0.01,10,500,1.0,0.7,0.10734756431313025,0.5738223585073478
3,0.1,10,200,1.0,0.7,0.013991871011767893,0.5738398294548784
4,0.1,7,500,1.0,0.5,0.015197199160714717,0.5740000689750576
5,0.1,7,200,1.0,0.5,0.062377941599959096,0.5741388757568562
6,0.01,10,500,0.5,0.5,0.1736452648364151,0.5743675537673416
7,0.01,7,500,1.0,0.7,0.20984153481439444,0.574511441262034
8,0.1,5,500,1.0,0.7,0.03906919544503741,0.5747236750142097
9,0.01,10,500,0.7,0.7,0.11002813822148995,0.5749566366369793
10,0.1,5,500,0.5,0.7,0.04415173420214235,0.5759531434432155
11,0.01,10,500,0.7,0.5,0.17121406446039852,0.5760583450540987
12,0.01,10,500,0.5,0.7,0.11340601073268729,0.5761679376995185
13,0.01,10,500,1.0,0.5,0.16952478515821995,0.5762746412807761
14,0.1,7,500,1.0,0.7,0.013260560106252617,0.5765134845050371
15,0.1,7,500,0.5,1.0,0.012741760020001226,0.5767639555711587
16,0.1,7,500,0.7,0.5,0.015426404378534084,0.5769146636661798
17,0.01,7,500,0.7,0.7,0.2162350227391511,0.5772275172907725
18,0.1,7,200,0.5,1.0,0.04119104467195598,0.577281596627097
19,0.1,7,200,1.0,0.7,0.04098384402551656,0.5773280004923926
20,0.1,7,500,0.7,0.7,0.013299000151094068,0.5774026600507335
21,0.1,5,200,1.0,0.7,0.1387919639955402,0.5776585673649338
22,0.1,5,500,0.5,0.5,0.05678443083940522,0.5777042283466872
23,0.1,7,200,0.7,0.5,0.06514447636330234,0.5781084634431751
24,0.1,7,200,0.7,0.7,0.04342294769594558,0.5781453641788882
25,0.1,10,500,0.7,0.5,0.012508780456452597,0.5784860098186463
26,0.1,4,500,0.7,0.7,0.10092682767927685,0.5786191209547112
27,0.1,10,200,0.7,0.5,0.024071890248686202,0.5787011098666232
28,0.1,10,500,1.0,0.5,0.01247108408871444,0.578816803595937
29,0.1,5,500,0.7,1.0,0.03922537790210482,0.5788176220392017
30,0.1,4,500,1.0,0.7,0.09476559745223592,0.5789142392933267
31,0.1,10,200,1.0,0.5,0.023878867931711473,0.5790824153850819
32,0.1,10,500,0.7,0.7,0.012352515670077623,0.5797567917378798
33,0.1,5,200,0.5,0.7,0.14999147920099404,0.5797750477200664
34,0.1,10,200,0.7,0.7,0.014104224628687077,0.5799264847455361
35,0.01,7,500,0.5,0.7,0.22267938048515684,0.5800819600861102
36,0.1,5,200,0.5,0.5,0.17651616655324745,0.58037610786574
37,0.1,5,500,0.7,0.5,0.05259468013076232,0.5807660247990086
38,0.1,7,500,0.5,0.5,0.015943665836941484,0.5807801980894699
39,0.1,4,500,0.5,1.0,0.10412439481356216,0.5808993409706581
40,0.1,5,500,1.0,1.0,0.03836149256874754,0.5809747981484323
41,0.01,7,500,0.5,1.0,0.18491304232922462,0.5812450988600079
42,0.01,7,500,1.0,0.5,0.2572066698940481,0.5813379889017319
43,0.1,4,500,0.5,0.7,0.10495637521359544,0.5816122967918732
44,0.1,4,500,0.7,0.5,0.11585158272643574,0.5816708200333522
45,0.1,7,200,0.5,0.5,0.07130587084439657,0.5818719720764082
46,0.1,5,500,0.7,0.7,0.04220107816834967,0.5820672483356203
47,0.1,5,200,0.7,1.0,0.14211329068758757,0.5822705406968004
48,0.1,4,500,1.0,0.5,0.11137963024005111,0.5823234689392074
49,0.1,4,500,1.0,1.0,0.0963246788847079,0.5824150769258558
50,0.01,7,500,0.5,0.5,0.2676387356458493,0.5826619965371923
51,0.01,7,500,0.7,1.0,0.18104721845687485,0.5828034699352468
52,0.1,7,500,0.5,0.7,0.013529069465556322,0.5828958536752551
53,0.01,10,500,0.5,1.0,0.06598219689300332,0.583032794469564
54,0.1,5,200,0.7,0.7,0.1431410478939078,0.5831158705005687
55,0.1,7,200,0.5,0.7,0.04719450848984428,0.5833302000925062
56,0.1,4,500,0.5,0.5,0.11985258401817975,0.5833315717112575
57,0.1,4,200,0.7,0.7,0.2384252950827526,0.5834314585633176
58,0.2,5,500,1.0,1.0,0.013372748240106718,0.5834774747331493
59,0.2,5,500,0.5,1.0,0.014055658575966672,0.5835286588933138
60,0.01,7,500,0.7,0.5,0.26192972994350167,0.5836230913136884
61,0.1,5,500,1.0,0.5,0.05019092778518505,0.5836587825182274
62,0.1,3,500,1.0,0.7,0.20320131091080954,0.5836889335219181
63,0.1,7,200,0.7,1.0,0.03921759995231111,0.5837100138932245
64,0.1,7,500,0.7,1.0,0.012617300296027234,0.5837104813692042
65,0.2,5,200,1.0,1.0,0.0543726235357038,0.5838139113994356
66,0.2,4,500,0.7,1.0,0.034205837053144936,0.5839222516248522
67,0.1,5,200,1.0,1.0,0.14159018928258485,0.5841940482030247
68,0.1,4,200,1.0,0.7,0.22967516194188448,0.5843203237957989
69,0.2,5,200,0.5,1.0,0.06131124026705439,0.5843226202221504
70,0.1,5,500,0.5,1.0,0.04313399403903095,0.5843983021871504
71,0.1,4,500,0.7,1.0,0.1001516295217867,0.5845941539541722
72,0.2,4,200,1.0,1.0,0.12480955634680937,0.5846301072466629
