rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
1,500,10,0.05,1.0,0.7,1.0,0.5,0.27801946432263214,0.7001121558334441
2,500,10,0.05,1.0,0.7,0.5,0.5,0.2730985715371425,0.7003616744849024
3,500,9,0.1,1.0,0.7,1.0,0.5,0.24554169032926487,0.7006160990591593
4,500,9,0.1,1.0,0.7,0.5,0.5,0.24246257211258432,0.7007714977587103
5,500,10,0.05,0.7,0.7,1.0,0.5,0.2949542155309789,0.7013361989104466
6,500,10,0.05,1.0,0.7,1.0,0.0,0.28084831877214456,0.7015279716768278
7,500,9,0.05,1.0,0.7,1.0,0.5,0.3412483529664196,0.7022825041945113
8,500,10,0.05,1.0,0.7,0.5,0.0,0.2747670543536054,0.7025545562708512
9,500,9,0.05,1.0,0.7,0.5,0.5,0.33691845222857636,0.7029558995436391
10,500,9,0.1,1.0,0.7,1.0,0.0,0.25009317961076327,0.7029715676997105
11,500,9,0.05,1.0,0.7,0.5,0.0,0.3393367271084322,0.7036037625766434
12,500,10,0.05,0.7,0.7,0.5,0.5,0.29218499948966126,0.7037782619948241
13,500,10,0.05,0.7,0.7,1.0,0.0,0.30451458944927473,0.7037897309722477
14,500,9,0.05,0.7,0.7,1.0,0.5,0.3483056325637141,0.7040345502717229
15,500,9,0.05,1.0,0.7,1.0,0.0,0.3457289822279109,0.7045240425358226
16,500,10,0.05,0.7,1.0,0.5,0.5,0.2913347069147256,0.7045794043188499
17,500,9,0.1,1.0,1.0,0.5,0.5,0.24014436875256281,0.7046072183821674
18,500,9,0.1,1.0,0.7,0.5,0.0,0.24611255062343046,0.7046686248060084
19,500,9,0.05,0.7,0.7,0.5,0.5,0.3436417592090659,0.7047459249878973
20,500,9,0.1,1.0,1.0,1.0,0.5,0.2430855520410617,0.7047572835771726
21,500,10,0.05,0.7,1.0,1.0,0.5,0.29358072020847625,0.7049484441464293
22,500,10,0.05,1.0,1.0,1.0,0.5,0.27819431169058895,0.7050599487898844
23,500,9,0.05,0.7,1.0,1.0,0.5,0.34401960233632956,0.7053060238955735
24,500,10,0.05,0.7,1.0,1.0,0.0,0.3073330229326457,0.7053552854431658
25,500,9,0.1,1.0,1.0,1.0,0.0,0.2480337778482536,0.7053907123986235
26,500,10,0.1,1.0,0.7,1.0,0.5,0.2185251843529721,0.7054058546398689
27,500,10,0.05,1.0,1.0,1.0,0.0,0.2813010847668796,0.7056101331463541
28,500,9,0.05,1.0,1.0,0.5,0.5,0.33476019088632664,0.7056935662163083
29,500,10,0.05,0.7,0.7,0.5,0.0,0.3042257745051893,0.7059099500009471
30,500,10,0.1,1.0,0.7,0.5,0.5,0.21683618067292207,0.7059219009774265
31,500,9,0.05,0.7,1.0,0.5,0.5,0.34088834491060677,0.7059383035653457
32,500,10,0.05,1.0,1.0,0.5,0.5,0.2733013052377816,0.7060736963649489
33,500,9,0.05,0.7,0.7,1.0,0.0,0.3560365478184511,0.7063327442817545
34,200,10,0.1,1.0,0.7,1.0,0.5,0.3098700363305989,0.7063538257256843
35,500,10,0.1,1.0,0.7,1.0,0.0,0.21871238352075179,0.706973891169839
36,500,9,0.1,1.0,1.0,0.5,0.0,0.24376212312180803,0.7070323821097857
37,500,9,0.1,0.7,0.7,1.0,0.5,0.27225666376212043,0.7071151131890452
38,200,10,0.1,1.0,0.7,0.5,0.5,0.30502456120923066,0.707260501838587
39,500,9,0.05,1.0,1.0,1.0,0.5,0.3414616823226304,0.707738426388633
40,500,9,0.05,1.0,1.0,1.0,0.0,0.3462465446213706,0.7078745859749195
41,500,7,0.1,1.0,0.7,1.0,0.5,0.3887590544533122,0.7081082696424664
42,200,10,0.1,1.0,0.7,1.0,0.0,0.3118444907828035,0.7081855207174206
43,500,9,0.05,0.7,0.7,0.5,0.0,0.3549050722764313,0.7081873967226954
44,500,10,0.05,0.7,1.0,0.5,0.0,0.30810359303670143,0.7082297432945429
45,500,9,0.05,0.7,1.0,1.0,0.0,0.3552983525297952,0.7083438712824267
46,500,10,0.05,1.0,1.0,0.5,0.0,0.2756962978505027,0.7084835942272747
47,500,10,0.1,1.0,0.7,0.5,0.0,0.21566366229181944,0.7087550178194133
48,500,9,0.1,0.7,0.7,0.5,0.5,0.27130145539383277,0.7090432617633867
49,500,9,0.05,0.7,1.0,0.5,0.0,0.35689843074792543,0.7090933546057017
50,500,9,0.1,0.7,1.0,1.0,0.5,0.2718373996828666,0.7091511058765043
51,200,10,0.1,1.0,0.7,0.5,0.0,0.30485018817762677,0.7093181350890879
52,500,9,0.05,1.0,1.0,0.5,0.0,0.34023938854031666,0.7093784265337785
53,500,7,0.1,1.0,0.7,0.5,0.5,0.3846600575386321,0.7097332525614747
54,500,7,0.1,1.0,1.0,1.0,0.5,0.3860996557621257,0.7098442823254177
55,500,10,0.1,1.0,1.0,0.5,0.5,0.2156437138397279,0.7099583729428511
56,200,9,0.1,1.0,0.7,1.0,0.5,0.37777476360111506,0.7100278634541487
57,500,7,0.1,1.0,1.0,0.5,0.5,0.37962158809110946,0.7101363503735046
58,200,9,0.1,1.0,0.7,0.5,0.5,0.3732358523410884,0.7101570948158202
59,500,7,0.2,1.0,1.0,1.0,0.5,0.27205824399274714,0.7102820121279604
60,500,10,0.1,0.7,0.7,0.5,0.5,0.2445473922115215,0.7102838243980286
61,500,10,0.1,1.0,1.0,1.0,0.5,0.2172188521757427,0.7103351386549497
62,200,10,0.1,0.7,0.7,0.5,0.5,0.32136604692451476,0.7109170907339284
63,500,10,0.1,1.0,1.0,1.0,0.0,0.21816363682166995,0.710966958944645
64,200,10,0.1,1.0,1.0,1.0,0.5,0.30735952867801275,0.711002670931827
65,500,9,0.1,0.7,0.7,0.5,0.0,0.28615287074038265,0.711078917755077
66,200,10,0.1,1.0,1.0,0.5,0.5,0.3032916018109302,0.7112032275735345
67,500,10,0.1,0.7,1.0,1.0,0.5,0.24478184262490857,0.7113570081245268
68,500,10,0.1,1.0,1.0,0.5,0.0,0.21588519781608584,0.7113815357023596
69,500,7,0.1,1.0,1.0,0.5,0.0,0.38636788489336904,0.7115975882024848
70,500,9,0.1,0.7,1.0,1.0,0.0,0.28800094130945914,0.7118093573814974
71,500,10,0.1,0.7,0.7,1.0,0.5,0.24417041388558008,0.711940698933151
72,200,10,0.1,1.0,1.0,0.5,0.0,0.30368046584665853,0.7120116909273336
73,500,9,0.1,0.7,0.7,1.0,0.0,0.28518420469053535,0.7120128970812061
74,500,7,0.2,1.0,0.7,1.0,0.5,0.2762089652206251,0.7120257554619419
75,500,7,0.1,1.0,0.7,1.0,0.0,0.3942241724338774,0.7120521099910048
76,500,10,0.1,0.7,0.7,1.0,0.0,0.2552730016306526,0.7121392940243788
77,200,10,0.1,0.7,0.7,1.0,0.5,0.3258547244786964,0.7124364034694487
78,500,9,0.1,0.7,1.0,0.5,0.5,0.27242347259753125,0.7124811311486191
79,500,7,0.2,1.0,0.7,0.5,0.5,0.2732717875663536,0.7125011679767553
80,200,10,0.1,1.0,1.0,1.0,0.0,0.3123737493306966,0.7125649093944293
81,500,7,0.1,0.7,0.7,0.5,0.5,0.39343591243289117,0.712732637549422
82,200,10,0.1,0.7,1.0,1.0,0.5,0.3224714628803281,0.7128433948742757
83,500,7,0.1,1.0,0.7,0.5,0.0,0.3881126267019821,0.7128747677084628
84,500,7,0.1,1.0,1.0,1.0,0.0,0.39141226812882757,0.7130289080318307
85,500,7,0.2,1.0,1.0,0.5,0.5,0.26767496956730646,0.7131196560427941
86,500,7,0.1,0.7,1.0,0.5,0.5,0.3875240678333983,0.7134329811730701
87,500,10,0.1,0.7,0.7,0.5,0.0,0.25702692465927535,0.7134509129209511
88,500,7,0.2,1.0,0.7,0.5,0.0,0.2741691207480255,0.7136613917074975
89,500,10,0.1,0.7,1.0,0.5,0.5,0.24528325791066233,0.7137404784101424
90,500,10,0.1,0.7,1.0,1.0,0.0,0.2593207814581906,0.7139826374189502
91,200,9,0.1,1.0,0.7,1.0,0.0,0.3872889767872047,0.7140905073145135
92,500,7,0.1,0.7,0.7,1.0,0.5,0.3948840694702259,0.714176939297521
93,500,9,0.1,0.7,1.0,0.5,0.0,0.2910823191052603,0.7142275537073617
94,200,10,0.1,0.7,1.0,0.5,0.5,0.3194150844930518,0.7142769632804274
95,200,9,0.1,1.0,1.0,0.5,0.5,0.37278253064805644,0.7143080072914987
96,500,7,0.2,1.0,1.0,1.0,0.0,0.27623066210606956,0.7144069845032763
97,200,9,0.1,1.0,1.0,1.0,0.5,0.37847825038849214,0.7145801506875881
98,500,6,0.2,1.0,0.7,1.0,0.5,0.37039130103572715,0.7145831282389653
99,500,6,0.2,1.0,1.0,1.0,0.5,0.36235724331432845,0.7146139309216167
100,200,10,0.1,0.7,0.7,0.5,0.0,0.331222194756908,0.7147074502841113
101,200,9,0.1,1.0,0.7,0.5,0.0,0.3781440585578213,0.7147403063573654
102,500,7,0.2,1.0,0.7,1.0,0.0,0.2791044958872133,0.7148431480333467
