rank_test_score,param_xgb__n_estimators,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__subsample,param_xgb__colsample_bytree,param_xgb__lambda,param_xgb__alpha,train_rmse,test_rmse
1,500,5,0.1,0.7,0.7,1.0,0.0,0.04188335069862828,0.5621821957501469
2,500,5,0.05,0.7,0.7,1.0,0.5,0.12304195026106042,0.5627469905274124
3,300,5,0.1,0.7,0.7,1.0,0.0,0.08935321321887155,0.5628557287771085
4,500,5,0.1,0.7,1.0,0.5,0.5,0.05954714601742595,0.5628973415169068
5,500,5,0.1,0.7,0.7,0.5,0.5,0.06354294378972535,0.5629035219560327
6,500,5,0.05,0.7,0.7,0.5,0.0,0.10436220926404721,0.5629688219238325
7,500,5,0.05,0.7,0.9,1.0,0.0,0.10563772242169261,0.5630166141140321
8,500,5,0.05,0.7,0.7,0.5,0.5,0.11869261876387745,0.5630332998977969
9,300,5,0.1,0.7,1.0,0.5,0.5,0.0959882105091452,0.5631389365114586
10,300,5,0.1,0.7,0.7,0.5,0.5,0.1013203195537653,0.5636587007404855
11,500,5,0.05,0.7,0.9,0.5,0.5,0.11445705760901495,0.5642091960821538
12,500,5,0.1,0.7,0.7,1.0,0.5,0.06508311509604357,0.5642188086986224
13,500,5,0.05,0.7,1.0,0.5,0.0,0.1004614501810185,0.5642276446111254
14,500,7,0.05,0.7,0.9,0.5,0.0,0.025688604671076455,0.5642680653222032
15,500,5,0.1,0.9,0.7,0.5,0.5,0.057266068539530014,0.565036461746269
16,300,7,0.05,0.7,0.9,0.5,0.0,0.060115463170777025,0.5650497668436437
17,300,5,0.1,0.7,0.7,1.0,0.5,0.10540732756208215,0.5651043501385054
18,500,7,0.05,0.7,0.7,1.0,0.5,0.055733722783420925,0.5652464866271112
19,300,5,0.1,0.9,0.7,0.5,0.5,0.09243616222915604,0.5652633295229621
20,500,5,0.05,0.9,0.7,1.0,0.5,0.11360113334621764,0.5654238850018596
21,300,5,0.05,0.7,0.7,0.5,0.0,0.1793592529241856,0.5655895631561543
22,300,5,0.05,0.7,0.7,1.0,0.5,0.19401871363978823,0.5657249665155623
23,500,7,0.05,0.7,0.7,1.0,0.0,0.02840856435245576,0.5657260203776827
24,500,5,0.1,0.7,0.9,0.5,0.0,0.037661888481221886,0.56575899929244
25,300,5,0.1,0.7,0.9,0.5,0.0,0.08237941120079455,0.5659126792762922
26,500,5,0.05,0.9,0.7,1.0,0.0,0.10360316641259268,0.5659190256059957
27,500,7,0.05,0.7,0.9,0.5,0.5,0.05224094876159191,0.565990169616127
28,500,7,0.05,0.9,0.7,1.0,0.0,0.024569585330130605,0.5660764345644842
29,500,5,0.05,0.7,0.7,1.0,0.0,0.10808278439148147,0.5661729636066255
30,300,5,0.05,0.7,0.7,0.5,0.5,0.18736408939063348,0.5662105251197734
31,300,5,0.05,0.7,1.0,0.5,0.0,0.1740846236008574,0.5663469305924373
32,300,9,0.05,0.7,0.7,0.5,0.0,0.022662212461576375,0.5663576462141238
33,500,9,0.05,0.7,0.7,0.5,0.0,0.013204985881251024,0.5663669714970967
34,300,7,0.05,0.7,0.7,1.0,0.5,0.08956306617281663,0.5664218542829436
35,300,7,0.05,0.7,0.7,1.0,0.0,0.06847627036711136,0.5664508515522964
36,500,5,0.05,0.9,0.7,0.5,0.5,0.11052635504507825,0.5666670733689811
