Model,Train_set,Test_set,R²,RMSE,MAE,MAPE
KernelRidge,dft,dft,0.7633324658557326,0.710716406306371,0.5061387082013171,1719.2957443205803
KernelRidge,dft,exp,0.35457156687955,0.951087027009224,0.7579382701070955,60.58222296186042
KernelRidge,dft,mix,0.6732761856759835,0.7903098506309035,0.5845624703365517,128.60344165237916
SVR,dft,dft,0.7729407047778372,0.696140083029454,0.4549463026522654,1810.8860116930173
SVR,dft,exp,0.358028743649977,0.9485364027208198,0.7574752339001688,63.026710761458304
SVR,dft,mix,0.6872912519271885,0.773173597578382,0.5466857444156263,127.9717676810375
ElasticNet,dft,dft,0.5083296403860078,1.0243868899707007,0.8086496251533877,2171.1482192562707
ElasticNet,dft,exp,0.252702459967875,1.0233942851025941,0.7927360869532392,74.19785029791359
ElasticNet,dft,mix,0.4316950197052828,1.0423119833251566,0.8166168938980315,186.2635262835532
Ridge,dft,dft,0.5215032804535265,1.0105701833204934,0.7966784946815403,2235.7559197131623
Ridge,dft,exp,0.2711451470666254,1.010687131250366,0.795491537616899,72.50803013656738
Ridge,dft,mix,0.4479493130623772,1.0272980817148376,0.8092443997115962,182.76185010904783
Lasso,dft,dft,0.45317133390047304,1.0803205430895897,0.8549606222444569,2111.0134618639513
Lasso,dft,exp,0.34675623894625984,0.9568279353660636,0.7321530916171677,74.15485089588681
Lasso,dft,mix,0.41683910205737207,1.0558475045967322,0.8236491672365436,193.55950055849078
GBR,dft,dft,0.8166576592490379,0.6255447504051426,0.38970264798792326,1758.5320445862135
GBR,dft,exp,0.3818975142910306,0.9307358796142511,0.7380035182609337,56.84401863769332
GBR,dft,mix,0.7195159628438452,0.7322528568772102,0.5017644991321691,101.99463954546748
LightGBM,dft,dft,0.8180969727703786,0.6230845193854209,0.4108061868893073,1733.4239655033357
LightGBM,dft,exp,0.3656749874844164,0.9428706768844188,0.7501814201477842,57.73422366262586
LightGBM,dft,mix,0.7146974241185948,0.7385158936193466,0.5217510393558714,94.93226292754872
XGBoost,dft,dft,0.8199944293532554,0.619826258241841,0.40108539251308334,1730.3019892275095
XGBoost,dft,exp,0.37725430732853094,0.9342251987460191,0.7397628569871381,56.74512294140142
XGBoost,dft,mix,0.7195184622500779,0.7322495943003979,0.5098082868464272,105.98303384539005
RandomForest,dft,dft,0.8117133473368474,0.633923373912478,0.41283676116099327,1829.2143994248725
RandomForest,dft,exp,0.40548776017024757,0.9128020594623477,0.7213656035022651,56.722298869426645
RandomForest,dft,mix,0.7205285161640768,0.7309299376878126,0.5100884683542546,119.27416040471526
ExtraRandomTrees,dft,dft,0.813505315190348,0.6308995640628858,0.39580184282823383,1819.205312024122
ExtraRandomTrees,dft,exp,0.39569395428001286,0.9202899528008607,0.7273144725195134,56.22591305320797
ExtraRandomTrees,dft,mix,0.7204094333240348,0.7310856457793207,0.5000169298460521,114.89557172924205
KNN,dft,dft,0.7401774261253382,0.7446727095773962,0.46696719108377904,1930.7982233727685
KNN,dft,exp,0.3827311764801754,0.9301080054876886,0.7262548695397761,58.83733221490346
KNN,dft,mix,0.666543312397889,0.7984113749941123,0.5396749259643369,142.83297511390901
ElasticNet,exp,exp,0.5764427597428213,0.7884056538953634,0.5815947089854437,72.58891792680528
ElasticNet,exp,dft,0.24153118152855335,1.2723185629825189,1.0078588900895737,2545.1585618885433
ElasticNet,exp,mix,0.328161617144768,1.133285692188242,0.8611926198054171,231.05097793214378
Ridge,exp,exp,0.6649375922164558,0.7012236057810449,0.5017084825567418,56.859593941795296
Ridge,exp,dft,0.11719090537588128,1.3726518421619303,1.051836028770262,2865.5456750419617
Ridge,exp,mix,0.26274100952947466,1.187181276222151,0.8646422778134704,233.20831696266055
Lasso,exp,exp,0.5461264546146563,0.8161333221088588,0.6129123995197824,80.25723797043732
Lasso,exp,dft,0.23711580842582458,1.27601654560556,1.0203487487299894,2486.526340899374
Lasso,exp,mix,0.3161544391163267,1.1433679543137039,0.8803026734956266,237.83098094704394
GBR,exp,exp,0.8782064470519004,0.4227716189558578,0.2504527925762845,23.924283135706
GBR,exp,dft,0.27667158572720885,1.2424953177466622,0.9704762391042645,2647.723478044545
GBR,exp,mix,0.43830665097106747,1.0362311432102373,0.7268410174122788,209.29317475063885
LightGBM,exp,exp,0.8911657250959567,0.39964696499350777,0.24876684585215156,24.33426965234956
LightGBM,exp,dft,0.26480666832196453,1.2526443318900313,0.9637303711530762,2466.9907666028257
LightGBM,exp,mix,0.4420528009371302,1.0327698494478204,0.7158828145714092,199.82196708727648
XGBoost,exp,exp,0.891361767387075,0.3992868623497945,0.24636539425253084,24.20564626252205
XGBoost,exp,dft,0.28574941164227985,1.234673995953075,0.9524083732538672,2553.642100596285
XGBoost,exp,mix,0.4504433886107426,1.0249748716387455,0.7124778712258808,208.49204075978355
RandomForest,exp,exp,0.8679427521075481,0.44022509537252136,0.2695151046080542,26.330699855520827
RandomForest,exp,dft,0.26711452360483334,1.250676690172495,0.9851328105984569,2555.11832918456
RandomForest,exp,mix,0.43144268934191377,1.0425433536131006,0.7386322463758486,215.2405910582821
ExtraRandomTrees,exp,exp,0.8808129127476128,0.4182233518141257,0.24893582429051905,24.437772754236494
ExtraRandomTrees,exp,dft,0.2860909045098561,1.2343788034958627,0.974129280016095,2653.4636575517
ExtraRandomTrees,exp,mix,0.4487325928704453,1.0265690295729026,0.7226667240778326,211.46787288431378
KNN,exp,exp,0.8399512620620528,0.4846406093538862,0.2885718982349348,28.229092437836417
